# Train        Test        
    0.264045     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.235955     0.272727 
    0.241573     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.247191     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.252809     0.272727 
    0.269663     0.272727 
    0.252809     0.272727 
    0.258427     0.272727 
    0.275281     0.272727 
    0.269663     0.272727 
    0.230337     0.290909 
    0.258427     0.272727 
    0.235955     0.272727 
    0.219101     0.272727 
    0.235955     0.272727 
    0.258427     0.272727 
    0.258427     0.272727 
    0.252809     0.290909 
    0.241573     0.345455 
    0.202247     0.272727 
    0.286517     0.345455 
    0.241573     0.254545 
    0.241573     0.254545 
    0.252809     0.254545 
    0.258427     0.163636 
    0.247191     0.290909 
    0.269663     0.254545 
    0.292135     0.254545 
    0.264045     0.381818 
    0.314607     0.472727 
    0.280899     0.345455 
    0.320225     0.490909 
    0.370787     0.472727 
    0.365169     0.581818 
    0.365169     0.454545 
    0.398876     0.545455 
    0.314607     0.509091 
    0.359551     0.436364 
    0.443820     0.636364 
    0.455056     0.672727 
    0.370787     0.709091 
    0.477528     0.618182 
    0.511236     0.836364 
    0.578652     0.654545 
    0.544944     0.727273 
    0.578652     0.690909 
    0.533708     0.727273 
    0.617978     0.745455 
    0.601124     0.636364 
    0.606742     0.690909 
    0.561798     0.763636 
    0.522472     0.818182 
    0.578652     0.745455 
    0.601124     0.690909 
    0.589888     0.763636 
    0.623596     0.690909 
    0.623596     0.709091 
    0.561798     0.745455 
    0.651685     0.836364 
    0.646067     0.690909 
    0.634831     0.727273 
    0.640449     0.872727 
    0.651685     0.818182 
    0.640449     0.854545 
    0.612360     0.763636 
    0.713483     0.818182 
    0.707865     0.800000 
    0.719101     0.909091 
    0.685393     0.818182 
    0.702247     0.890909 
    0.685393     0.963636 
    0.735955     0.890909 
    0.730337     0.890909 
    0.691011     0.854545 
    0.730337     0.854545 
    0.735955     0.945455 
    0.707865     0.945455 
    0.724719     0.836364 
    0.764045     0.818182 
    0.730337     0.945455 
    0.719101     0.963636 
    0.707865     0.963636 
    0.707865     0.981818 
    0.730337     0.945455 
    0.769663     0.945455 
    0.741573     0.854545 
    0.724719     0.872727 
    0.735955     0.872727 
    0.702247     0.872727 
    0.792135     0.909091 
    0.786517     0.872727 
    0.752809     0.872727 
    0.780899     0.981818 
    0.831461     0.963636 
    0.758427     0.927273 
    0.713483     0.909091 
    0.820225     0.909091 
    0.769663     0.963636 
    0.786517     0.981818 
    0.775281     0.890909 
    0.758427     0.963636 
    0.764045     0.927273 
    0.786517     0.963636 
    0.758427     0.945455 
    0.758427     0.963636 
    0.797753     0.836364 
    0.764045     0.945455 
    0.803371     0.963636 
    0.769663     0.963636 
    0.769663     0.872727 
    0.775281     0.981818 
    0.775281     0.963636 
