# Train        Test        
    0.398346     0.336165 
    0.338721     0.336165 
    0.339266     0.336165 
    0.338721     0.336165 
    0.338431     0.336165 
    0.340145     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.367191     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338534     0.336165 
    0.338712     0.336165 
    0.338650     0.336165 
    0.337388     0.336093 
    0.357348     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.339039     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338676     0.336165 
    0.339741     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338840     0.336165 
    0.338721     0.336165 
    0.338721     0.336165 
    0.338525     0.336165 
    0.338555     0.336165 
    0.338427     0.336165 
    0.337456     0.336165 
    0.335474     0.336165 
    0.336107     0.335973 
    0.333938     0.336165 
    0.337547     0.336165 
    0.335938     0.336165 
    0.336162     0.336114 
    0.340464     0.336165 
    0.329584     0.336165 
    0.327043     0.315986 
    0.321261     0.316932 
    0.311655     0.284109 
    0.326301     0.300233 
    0.317053     0.289553 
    0.311719     0.304010 
    0.307695     0.281259 
    0.306994     0.284233 
    0.299640     0.280423 
    0.304534     0.249659 
    0.276606     0.216970 
    0.265606     0.202752 
    0.242783     0.176783 
    0.224454     0.175132 
    0.205485     0.161554 
    0.195212     0.165223 
    0.195998     0.153828 
    0.192691     0.158302 
    0.189542     0.146716 
    0.211160     0.151464 
    0.186833     0.155241 
    0.173218     0.131089 
    0.173050     0.121314 
    0.171017     0.109433 
    0.163366     0.118884 
    0.170789     0.105762 
    0.160123     0.109253 
    0.153031     0.100328 
    0.155078     0.106847 
    0.158294     0.098247 
    0.135958     0.099481 
    0.143053     0.115363 
    0.138403     0.107064 
    0.150992     0.100734 
    0.155890     0.093786 
    0.148719     0.099655 
    0.146338     0.099665 
    0.148253     0.098179 
    0.136251     0.123042 
    0.138987     0.109851 
    0.147112     0.094133 
    0.127897     0.088085 
    0.130100     0.107853 
    0.137799     0.095154 
    0.130110     0.086579 
    0.135281     0.075598 
    0.132017     0.086273 
    0.130919     0.088071 
    0.120231     0.065339 
    0.113474     0.070079 
    0.118559     0.062125 
    0.122605     0.075034 
    0.120654     0.064958 
    0.121964     0.058617 
    0.120175     0.060274 
    0.109510     0.056071 
    0.120486     0.077057 
    0.114250     0.062932 
    0.116918     0.055135 
    0.113039     0.048618 
    0.114388     0.059849 
    0.109081     0.076261 
    0.111629     0.049720 
    0.114001     0.044024 
    0.115519     0.042261 
    0.114170     0.038941 
    0.111605     0.045845 
    0.103125     0.047802 
    0.101984     0.064754 
    0.105879     0.055253 
    0.107654     0.055117 
    0.115542     0.059467 
    0.099242     0.050385 
    0.099991     0.061298 
    0.104532     0.047874 
    0.095639     0.038359 
    0.092743     0.047949 
    0.102562     0.040811 
    0.115270     0.050670 
    0.088912     0.048743 
    0.107220     0.038289 
    0.102378     0.047585 
    0.100820     0.054992 
    0.103827     0.040540 
    0.094211     0.043964 
    0.101087     0.035415 
    0.100220     0.047497 
    0.104484     0.041981 
    0.096222     0.070902 
    0.101170     0.049435 
    0.096511     0.033229 
    0.106645     0.044409 
    0.103995     0.054442 
    0.103498     0.038503 
    0.092541     0.039458 
    0.091354     0.039090 
    0.096541     0.035791 
    0.095902     0.046602 
    0.098062     0.037796 
    0.090718     0.040252 
    0.085596     0.050924 
    0.095906     0.035055 
    0.096644     0.033615 
    0.083563     0.042837 
    0.098915     0.082857 
    0.093292     0.064573 
    0.091166     0.044359 
    0.090915     0.040041 
    0.088667     0.047233 
    0.089461     0.061913 
    0.096742     0.063979 
    0.097657     0.045427 
    0.095173     0.039323 
    0.095460     0.079766 
    0.087385     0.041724 
    0.083539     0.038514 
    0.098532     0.040512 
    0.089669     0.042562 
    0.093333     0.034258 
    0.088091     0.041203 
    0.084600     0.039199 
    0.097324     0.039419 
    0.098132     0.042455 
    0.095443     0.047488 
    0.091370     0.048462 
    0.084221     0.036785 
    0.085310     0.059632 
    0.093552     0.049121 
    0.082828     0.035500 
    0.088560     0.039673 
    0.084431     0.040312 
    0.106080     0.053581 
    0.111531     0.049059 
    0.099799     0.042970 
    0.086112     0.042273 
    0.087086     0.049584 
    0.086391     0.044306 
    0.084174     0.044585 
    0.102685     0.041869 
    0.082815     0.063758 
    0.090025     0.053614 
    0.081679     0.051025 
    0.096291     0.045269 
    0.083955     0.034320 
    0.092423     0.038488 
    0.083940     0.053608 
    0.095520     0.027964 
    0.091630     0.040986 
    0.080990     0.040137 
    0.093647     0.038070 
    0.083325     0.040089 
    0.082949     0.038733 
    0.073068     0.028994 
    0.082027     0.036998 
    0.082114     0.029352 
    0.089625     0.030832 
    0.066321     0.030080 
    0.078436     0.029846 
    0.081410     0.028832 
    0.072231     0.034006 
    0.081238     0.026439 
    0.085969     0.030708 
    0.072072     0.033513 
    0.075101     0.026542 
    0.083779     0.031770 
    0.079153     0.029765 
    0.081825     0.030296 
    0.085637     0.031202 
    0.082555     0.035413 
    0.080748     0.033004 
    0.079096     0.033089 
    0.072437     0.034973 
    0.080498     0.035791 
    0.079012     0.028748 
    0.088857     0.030433 
    0.067699     0.031893 
