# Train        Test        
    0.268571     0.258621 
    0.257143     0.258621 
    0.268571     0.258621 
    0.262857     0.258621 
    0.262857     0.275862 
    0.262857     0.275862 
    0.262857     0.258621 
    0.251429     0.275862 
    0.262857     0.241379 
    0.251429     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.251429     0.258621 
    0.251429     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.274286     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.262857     0.258621 
    0.257143     0.258621 
    0.262857     0.258621 
    0.291429     0.258621 
    0.251429     0.241379 
    0.251429     0.275862 
    0.245714     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.262857     0.258621 
    0.257143     0.258621 
    0.245714     0.189655 
    0.274286     0.189655 
    0.251429     0.241379 
    0.291429     0.224138 
    0.302857     0.189655 
    0.245714     0.293103 
    0.280000     0.189655 
    0.342857     0.241379 
    0.342857     0.362069 
    0.308571     0.327586 
    0.422857     0.344828 
    0.422857     0.431034 
    0.440000     0.500000 
    0.485714     0.413793 
    0.411429     0.344828 
    0.434286     0.413793 
    0.405714     0.413793 
    0.462857     0.465517 
    0.554286     0.431034 
    0.474286     0.431034 
    0.571429     0.327586 
    0.577143     0.568966 
    0.525714     0.413793 
    0.531429     0.534483 
    0.571429     0.534483 
    0.617143     0.568966 
    0.582857     0.551724 
    0.520000     0.431034 
    0.514286     0.396552 
    0.537143     0.620690 
    0.491429     0.482759 
    0.565714     0.500000 
    0.565714     0.586207 
    0.531429     0.500000 
    0.588571     0.396552 
    0.514286     0.448276 
    0.542857     0.586207 
    0.582857     0.500000 
    0.554286     0.551724 
    0.577143     0.603448 
    0.628571     0.534483 
    0.588571     0.586207 
    0.634286     0.586207 
    0.571429     0.465517 
    0.611429     0.465517 
    0.611429     0.568966 
    0.594286     0.534483 
    0.634286     0.637931 
    0.605714     0.603448 
    0.600000     0.568966 
    0.600000     0.637931 
    0.622857     0.500000 
    0.668571     0.551724 
    0.640000     0.603448 
    0.657143     0.603448 
    0.594286     0.568966 
    0.651429     0.500000 
    0.588571     0.551724 
    0.542857     0.551724 
    0.605714     0.465517 
    0.628571     0.551724 
    0.565714     0.637931 
    0.640000     0.620690 
    0.622857     0.655172 
    0.617143     0.517241 
    0.645714     0.448276 
    0.588571     0.500000 
    0.662857     0.586207 
    0.605714     0.568966 
    0.611429     0.586207 
    0.600000     0.551724 
    0.645714     0.396552 
    0.560000     0.500000 
    0.651429     0.534483 
    0.680000     0.603448 
    0.571429     0.586207 
    0.594286     0.655172 
    0.674286     0.551724 
    0.657143     0.620690 
    0.565714     0.603448 
    0.634286     0.568966 
    0.657143     0.672414 
    0.680000     0.500000 
    0.651429     0.620690 
    0.662857     0.620690 
    0.588571     0.672414 
    0.685714     0.603448 
    0.702857     0.655172 
    0.582857     0.568966 
    0.617143     0.586207 
    0.617143     0.568966 
    0.662857     0.568966 
    0.668571     0.620690 
    0.697143     0.500000 
    0.685714     0.517241 
    0.685714     0.551724 
    0.668571     0.637931 
    0.651429     0.637931 
    0.674286     0.672414 
    0.668571     0.603448 
    0.714286     0.672414 
    0.685714     0.655172 
    0.685714     0.655172 
    0.720000     0.637931 
    0.651429     0.637931 
    0.634286     0.551724 
    0.662857     0.551724 
    0.725714     0.689655 
    0.702857     0.620690 
    0.708571     0.568966 
    0.668571     0.672414 
    0.714286     0.655172 
    0.685714     0.758621 
    0.742857     0.586207 
    0.754286     0.637931 
    0.754286     0.586207 
    0.714286     0.672414 
    0.714286     0.672414 
    0.720000     0.689655 
    0.691429     0.620690 
    0.725714     0.551724 
    0.748571     0.655172 
    0.708571     0.655172 
    0.697143     0.655172 
    0.685714     0.620690 
    0.691429     0.672414 
    0.737143     0.568966 
    0.720000     0.706897 
    0.782857     0.534483 
    0.651429     0.637931 
    0.702857     0.620690 
    0.720000     0.724138 
    0.800000     0.724138 
    0.765714     0.706897 
    0.760000     0.810345 
    0.788571     0.775862 
    0.765714     0.724138 
    0.748571     0.620690 
    0.754286     0.741379 
    0.822857     0.637931 
    0.794286     0.655172 
    0.788571     0.689655 
    0.805714     0.655172 
    0.765714     0.655172 
    0.794286     0.689655 
    0.754286     0.620690 
    0.788571     0.706897 
    0.737143     0.706897 
    0.737143     0.655172 
    0.805714     0.810345 
    0.782857     0.758621 
    0.771429     0.689655 
    0.714286     0.706897 
    0.777143     0.706897 
    0.794286     0.603448 
    0.760000     0.672414 
    0.794286     0.724138 
    0.805714     0.620690 
    0.822857     0.637931 
    0.817143     0.706897 
    0.788571     0.603448 
    0.788571     0.620690 
    0.817143     0.793103 
    0.822857     0.724138 
    0.788571     0.689655 
    0.771429     0.741379 
    0.794286     0.775862 
    0.828571     0.672414 
    0.834286     0.741379 
    0.805714     0.724138 
    0.760000     0.689655 
    0.794286     0.741379 
    0.782857     0.724138 
    0.760000     0.793103 
    0.777143     0.741379 
    0.760000     0.706897 
    0.782857     0.741379 
    0.800000     0.706897 
    0.845714     0.758621 
    0.805714     0.741379 
    0.800000     0.758621 
    0.760000     0.775862 
    0.748571     0.758621 
    0.771429     0.724138 
    0.822857     0.689655 
    0.737143     0.775862 
    0.811429     0.689655 
    0.805714     0.706897 
    0.777143     0.655172 
    0.748571     0.775862 
    0.800000     0.620690 
    0.828571     0.741379 
    0.771429     0.689655 
    0.760000     0.775862 
    0.828571     0.758621 
    0.742857     0.758621 
    0.817143     0.793103 
    0.777143     0.724138 
    0.782857     0.741379 
    0.805714     0.706897 
    0.771429     0.758621 
    0.794286     0.655172 
    0.811429     0.758621 
    0.800000     0.689655 
    0.805714     0.706897 
    0.840000     0.793103 
    0.800000     0.775862 
    0.817143     0.810345 
    0.788571     0.706897 
    0.754286     0.741379 
    0.788571     0.706897 
    0.805714     0.741379 
    0.822857     0.810345 
    0.788571     0.724138 
    0.828571     0.775862 
    0.800000     0.844828 
    0.817143     0.758621 
    0.805714     0.810345 
    0.811429     0.672414 
    0.817143     0.689655 
    0.811429     0.775862 
    0.800000     0.689655 
    0.828571     0.741379 
    0.800000     0.724138 
    0.794286     0.758621 
    0.782857     0.741379 
    0.822857     0.672414 
    0.834286     0.775862 
    0.822857     0.793103 
    0.782857     0.672414 
    0.817143     0.706897 
    0.811429     0.775862 
    0.851429     0.793103 
    0.805714     0.775862 
    0.794286     0.706897 
    0.800000     0.724138 
    0.840000     0.827586 
    0.834286     0.724138 
    0.857143     0.844828 
    0.800000     0.741379 
    0.857143     0.810345 
    0.845714     0.706897 
    0.788571     0.793103 
    0.834286     0.793103 
    0.840000     0.844828 
    0.811429     0.810345 
    0.805714     0.810345 
    0.862857     0.741379 
    0.845714     0.793103 
    0.828571     0.775862 
    0.817143     0.758621 
    0.794286     0.706897 
    0.834286     0.758621 
    0.811429     0.724138 
    0.788571     0.741379 
    0.817143     0.827586 
    0.817143     0.706897 
    0.811429     0.741379 
    0.845714     0.775862 
    0.805714     0.758621 
    0.840000     0.741379 
    0.822857     0.827586 
    0.868571     0.775862 
    0.840000     0.741379 
    0.845714     0.724138 
    0.868571     0.793103 
    0.800000     0.793103 
    0.851429     0.758621 
    0.828571     0.775862 
    0.874286     0.775862 
    0.811429     0.862069 
    0.874286     0.793103 
    0.845714     0.775862 
    0.868571     0.706897 
    0.834286     0.689655 
    0.840000     0.724138 
    0.805714     0.775862 
    0.817143     0.758621 
    0.834286     0.775862 
    0.845714     0.775862 
    0.817143     0.706897 
    0.811429     0.706897 
    0.851429     0.793103 
    0.822857     0.741379 
    0.845714     0.724138 
    0.794286     0.793103 
    0.834286     0.586207 
    0.811429     0.689655 
    0.800000     0.741379 
    0.891429     0.810345 
    0.811429     0.793103 
    0.834286     0.724138 
    0.822857     0.775862 
    0.828571     0.741379 
    0.828571     0.706897 
    0.811429     0.758621 
    0.794286     0.724138 
    0.834286     0.724138 
    0.828571     0.706897 
    0.828571     0.637931 
    0.788571     0.810345 
    0.845714     0.844828 
    0.840000     0.758621 
    0.840000     0.741379 
    0.874286     0.775862 
    0.828571     0.810345 
    0.840000     0.741379 
    0.840000     0.637931 
    0.845714     0.689655 
    0.828571     0.793103 
    0.857143     0.810345 
    0.834286     0.844828 
    0.851429     0.724138 
    0.800000     0.672414 
    0.857143     0.793103 
    0.817143     0.758621 
    0.851429     0.775862 
    0.834286     0.793103 
    0.868571     0.793103 
    0.897143     0.810345 
    0.862857     0.758621 
    0.782857     0.672414 
    0.840000     0.810345 
    0.862857     0.810345 
    0.822857     0.775862 
    0.817143     0.689655 
    0.845714     0.758621 
    0.857143     0.810345 
    0.828571     0.810345 
    0.817143     0.724138 
    0.845714     0.793103 
    0.822857     0.724138 
    0.817143     0.724138 
    0.817143     0.758621 
    0.851429     0.879310 
    0.822857     0.741379 
    0.840000     0.810345 
    0.857143     0.775862 
    0.811429     0.706897 
    0.845714     0.758621 
    0.862857     0.741379 
    0.857143     0.758621 
    0.811429     0.793103 
    0.891429     0.844828 
    0.840000     0.724138 
    0.868571     0.741379 
    0.828571     0.775862 
    0.828571     0.724138 
    0.862857     0.724138 
    0.817143     0.758621 
    0.845714     0.758621 
    0.817143     0.689655 
    0.840000     0.810345 
    0.794286     0.810345 
    0.822857     0.724138 
    0.845714     0.741379 
    0.805714     0.741379 
    0.868571     0.758621 
    0.862857     0.810345 
    0.862857     0.793103 
    0.851429     0.810345 
    0.868571     0.793103 
    0.840000     0.741379 
    0.840000     0.810345 
    0.868571     0.758621 
    0.845714     0.775862 
    0.862857     0.793103 
    0.800000     0.758621 
    0.868571     0.741379 
    0.880000     0.724138 
    0.834286     0.775862 
    0.828571     0.706897 
    0.834286     0.827586 
    0.822857     0.758621 
    0.920000     0.793103 
    0.834286     0.689655 
    0.811429     0.655172 
    0.874286     0.741379 
    0.885714     0.810345 
    0.862857     0.775862 
    0.822857     0.827586 
    0.880000     0.775862 
    0.834286     0.775862 
    0.840000     0.775862 
    0.880000     0.758621 
    0.868571     0.706897 
    0.891429     0.706897 
    0.874286     0.724138 
    0.885714     0.793103 
    0.868571     0.810345 
    0.777143     0.775862 
    0.805714     0.724138 
    0.788571     0.706897 
    0.822857     0.775862 
    0.862857     0.758621 
    0.857143     0.741379 
    0.851429     0.741379 
    0.834286     0.741379 
    0.868571     0.810345 
    0.862857     0.827586 
    0.862857     0.793103 
    0.868571     0.793103 
    0.862857     0.775862 
    0.851429     0.793103 
    0.857143     0.775862 
    0.857143     0.724138 
    0.868571     0.741379 
    0.885714     0.758621 
    0.845714     0.758621 
    0.800000     0.775862 
    0.857143     0.724138 
    0.840000     0.758621 
    0.857143     0.775862 
    0.771429     0.724138 
    0.840000     0.793103 
    0.862857     0.724138 
    0.874286     0.758621 
    0.822857     0.741379 
    0.840000     0.689655 
    0.840000     0.741379 
    0.874286     0.741379 
    0.874286     0.741379 
    0.868571     0.758621 
    0.857143     0.775862 
    0.845714     0.758621 
    0.874286     0.775862 
    0.851429     0.793103 
    0.840000     0.741379 
    0.851429     0.758621 
    0.874286     0.793103 
    0.822857     0.706897 
    0.862857     0.827586 
    0.822857     0.741379 
    0.800000     0.724138 
    0.874286     0.793103 
    0.868571     0.724138 
    0.851429     0.724138 
    0.868571     0.758621 
    0.885714     0.775862 
    0.874286     0.741379 
    0.857143     0.827586 
    0.857143     0.827586 
    0.885714     0.724138 
    0.851429     0.827586 
    0.828571     0.827586 
    0.794286     0.775862 
    0.868571     0.775862 
    0.857143     0.775862 
    0.840000     0.741379 
    0.885714     0.775862 
    0.760000     0.724138 
    0.822857     0.758621 
