# Train        Test        
    0.469046     0.332766 
    0.339892     0.332766 
    0.344367     0.332766 
    0.339782     0.332766 
    0.339644     0.331823 
    0.341184     0.332404 
    0.350129     0.332680 
    0.341118     0.331392 
    0.339766     0.332615 
    0.340743     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339875     0.332766 
    0.339746     0.332766 
    0.340140     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.345127     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339785     0.332766 
    0.340867     0.332766 
    0.337437     0.332766 
    0.335928     0.332739 
    0.367657     0.332557 
    0.341798     0.330946 
    0.346238     0.327576 
    0.339299     0.332766 
    0.339892     0.332583 
    0.339347     0.332766 
    0.342309     0.332488 
    0.339709     0.332766 
    0.339772     0.336957 
    0.343489     0.328477 
    0.335762     0.314915 
    0.331608     0.320253 
    0.311448     0.271793 
    0.275795     0.257977 
    0.274279     0.243512 
    0.220766     0.207244 
    0.209637     0.223223 
    0.211148     0.191401 
    0.201805     0.184547 
    0.187857     0.167544 
    0.178961     0.170202 
    0.181773     0.162741 
    0.169985     0.175985 
    0.183925     0.168123 
    0.170265     0.183249 
    0.189186     0.172550 
    0.167805     0.151507 
    0.157923     0.188429 
    0.165388     0.159538 
    0.157181     0.159688 
    0.155605     0.145482 
    0.154982     0.166879 
    0.170672     0.156808 
    0.154292     0.148214 
    0.155328     0.142802 
    0.143522     0.154392 
    0.160791     0.170842 
    0.162705     0.186544 
    0.154316     0.155610 
    0.172584     0.174605 
    0.160690     0.162538 
    0.154100     0.148141 
    0.156242     0.152469 
    0.154712     0.173391 
    0.164455     0.156765 
    0.155703     0.134413 
    0.143203     0.155607 
    0.155198     0.147968 
    0.141922     0.142816 
    0.133565     0.157745 
    0.148066     0.126588 
    0.146668     0.143528 
    0.143752     0.153900 
    0.143370     0.183937 
    0.141469     0.151191 
    0.140602     0.151487 
    0.146405     0.137683 
    0.142881     0.148838 
    0.149092     0.131684 
    0.132257     0.140064 
    0.144450     0.141217 
    0.134806     0.141902 
    0.126996     0.137836 
    0.127892     0.138287 
    0.139975     0.143705 
    0.138892     0.153674 
    0.143533     0.153389 
    0.156537     0.154537 
    0.145940     0.181830 
    0.142034     0.145796 
    0.147522     0.123312 
    0.130063     0.128860 
    0.130654     0.136599 
    0.138797     0.156724 
    0.132286     0.158885 
    0.151575     0.163655 
    0.137842     0.162926 
    0.152343     0.138269 
    0.137848     0.149388 
    0.143868     0.149653 
    0.129725     0.176686 
    0.148636     0.161814 
    0.140186     0.158117 
    0.120510     0.153278 
    0.146843     0.157537 
    0.158940     0.142166 
    0.126667     0.137733 
    0.136646     0.138528 
    0.150444     0.141795 
    0.140504     0.135809 
    0.124980     0.131778 
    0.120884     0.170964 
    0.128450     0.143031 
    0.128261     0.149999 
    0.134002     0.127550 
    0.131429     0.149175 
    0.116843     0.126458 
    0.145435     0.156967 
    0.149873     0.133880 
    0.133823     0.146508 
    0.130678     0.137208 
    0.136623     0.135673 
    0.126525     0.156106 
    0.117537     0.145885 
    0.129620     0.144409 
    0.121742     0.137113 
    0.138271     0.121700 
    0.125726     0.117580 
    0.131830     0.134469 
    0.113622     0.113465 
    0.124396     0.132383 
    0.110872     0.125808 
    0.113691     0.129144 
    0.129486     0.141008 
    0.135913     0.137669 
    0.128359     0.140056 
    0.116315     0.126151 
    0.123734     0.116927 
    0.113818     0.144840 
    0.126391     0.119164 
    0.112430     0.122554 
    0.123641     0.122170 
    0.112769     0.150575 
    0.116174     0.133974 
    0.106154     0.128977 
    0.119041     0.125510 
    0.121297     0.155645 
    0.120924     0.123805 
    0.123063     0.121508 
    0.108462     0.158007 
    0.108378     0.111894 
    0.108704     0.134436 
    0.110453     0.128856 
    0.125840     0.125634 
    0.113910     0.120716 
    0.115343     0.128741 
    0.109315     0.111766 
    0.105621     0.132847 
    0.124031     0.135462 
    0.117620     0.134120 
    0.112840     0.103820 
    0.097584     0.117330 
    0.109741     0.115003 
    0.098820     0.098423 
    0.098799     0.105627 
    0.102519     0.098351 
    0.105934     0.124856 
    0.105515     0.097957 
    0.093451     0.110918 
    0.097575     0.116370 
    0.097732     0.116625 
    0.100822     0.113156 
    0.102665     0.118408 
    0.099141     0.117120 
    0.101424     0.119095 
    0.093655     0.112462 
    0.111944     0.114891 
    0.111063     0.125670 
    0.088546     0.101708 
    0.098224     0.096961 
    0.097718     0.112895 
    0.105860     0.114466 
    0.097429     0.109484 
    0.094689     0.126829 
    0.104713     0.133344 
    0.100850     0.118799 
    0.088522     0.122447 
    0.101579     0.107063 
    0.087717     0.114794 
    0.097823     0.117175 
    0.095664     0.120675 
    0.094040     0.096630 
    0.098482     0.098613 
    0.095514     0.119047 
    0.097585     0.109853 
    0.096494     0.090347 
    0.088488     0.106808 
    0.087836     0.105311 
    0.090055     0.094079 
    0.097044     0.116207 
    0.091345     0.103587 
    0.101095     0.103435 
    0.109425     0.089900 
    0.093674     0.104940 
    0.098810     0.111469 
    0.090660     0.106655 
    0.091427     0.095672 
    0.088693     0.108336 
    0.089804     0.101899 
    0.099504     0.102916 
    0.103194     0.109830 
    0.108193     0.098958 
    0.103868     0.118879 
    0.090919     0.121259 
    0.104666     0.098989 
    0.099197     0.111041 
    0.095144     0.125856 
    0.104029     0.120600 
    0.113542     0.122496 
    0.098607     0.150248 
    0.089850     0.111451 
    0.104081     0.104698 
    0.099381     0.110764 
    0.090042     0.107111 
    0.104085     0.103896 
    0.091886     0.089195 
    0.092567     0.123920 
    0.101761     0.125746 
    0.101193     0.098675 
    0.103320     0.109313 
    0.090523     0.129879 
    0.097556     0.125687 
    0.093708     0.108452 
    0.106921     0.114108 
    0.081378     0.096041 
    0.104008     0.112911 
    0.084463     0.097127 
    0.092486     0.125698 
    0.094621     0.098674 
    0.090666     0.108705 
    0.092618     0.096819 
    0.090422     0.108891 
    0.101024     0.100331 
    0.089595     0.078947 
    0.087480     0.085213 
    0.096447     0.093423 
    0.092892     0.089382 
    0.088150     0.115640 
    0.090256     0.119137 
    0.092044     0.114007 
    0.098493     0.104785 
    0.085231     0.121062 
    0.093987     0.108615 
    0.090567     0.107682 
    0.107016     0.112430 
    0.096378     0.107264 
    0.092861     0.095982 
    0.091942     0.093534 
    0.098631     0.108213 
    0.086579     0.097226 
    0.098747     0.098327 
    0.073615     0.104380 
    0.094193     0.108623 
    0.103679     0.110005 
    0.093080     0.118331 
    0.088554     0.097300 
    0.077688     0.105216 
    0.081008     0.096808 
    0.095436     0.110771 
    0.081867     0.098920 
    0.083509     0.114926 
    0.093737     0.085027 
    0.083249     0.090195 
    0.087208     0.071437 
    0.088015     0.091959 
    0.094744     0.086741 
    0.086343     0.115068 
    0.086263     0.100259 
    0.096065     0.099262 
    0.088007     0.093202 
    0.092422     0.100477 
    0.095695     0.105930 
    0.098695     0.106400 
    0.101820     0.123367 
    0.090300     0.091587 
    0.090901     0.101748 
    0.096340     0.109596 
    0.088990     0.099072 
    0.091047     0.100802 
    0.083337     0.124628 
    0.085281     0.090870 
    0.080417     0.108995 
    0.084358     0.094911 
    0.080105     0.115813 
    0.080960     0.094966 
    0.088852     0.094949 
    0.083101     0.109084 
    0.092116     0.108051 
    0.080986     0.094944 
    0.088204     0.068544 
    0.074442     0.092047 
    0.081202     0.096400 
    0.075465     0.105265 
    0.079741     0.106752 
    0.089807     0.096333 
    0.083971     0.104308 
    0.086343     0.093839 
    0.080594     0.091834 
    0.081203     0.095489 
    0.086805     0.103992 
    0.087485     0.102572 
    0.075597     0.094749 
    0.091586     0.116861 
