# Train        Test        
    0.258597     0.244444 
    0.259972     0.244444 
    0.272352     0.244444 
    0.259972     0.244444 
    0.270977     0.244444 
    0.528198     0.822222 
    0.786795     0.933333 
    0.847318     0.944444 
    0.830812     0.916667 
    0.841816     0.938889 
    0.845942     0.916667 
    0.839065     0.933333 
    0.807428     0.877778 
    0.825309     0.944444 
    0.843191     0.822222 
    0.834938     0.933333 
    0.822558     0.911111 
    0.848693     0.961111 
    0.873453     0.933333 
    0.844567     0.883333 
    0.859697     0.950000 
    0.866575     0.894444 
    0.859697     0.911111 
    0.889959     0.916667 
    0.881706     0.966667 
    0.845942     0.938889 
    0.866575     0.905556 
    0.887208     0.950000 
    0.881706     0.961111 
    0.896836     0.938889 
    0.913343     0.961111 
    0.902338     0.983333 
    0.913343     0.983333 
    0.880330     0.966667 
    0.898212     0.972222 
    0.885832     0.966667 
    0.891334     0.977778 
    0.905089     0.972222 
    0.920220     0.977778 
    0.922971     0.961111 
    0.895461     0.961111 
    0.900963     0.950000 
    0.906465     0.961111 
    0.927098     0.966667 
    0.906465     0.966667 
    0.905089     1.000000 
    0.914718     0.983333 
    0.924347     0.972222 
    0.896836     0.933333 
    0.891334     0.972222 
    0.909216     0.972222 
    0.907840     0.972222 
    0.894085     0.955556 
    0.900963     0.977778 
    0.884457     0.983333 
    0.909216     0.977778 
    0.928473     0.983333 
    0.903714     0.972222 
    0.873453     0.955556 
    0.911967     0.988889 
    0.916094     0.972222 
    0.914718     0.988889 
    0.935351     0.977778 
    0.913343     0.972222 
    0.924347     0.988889 
    0.918845     0.977778 
    0.913343     0.972222 
    0.911967     0.977778 
    0.899587     0.977778 
    0.927098     0.983333 
    0.895461     0.983333 
    0.899587     0.988889 
    0.929849     0.983333 
    0.916094     0.977778 
    0.925722     0.977778 
    0.918845     0.966667 
    0.914718     0.977778 
    0.924347     0.983333 
    0.903714     0.983333 
    0.925722     0.988889 
    0.921596     0.983333 
    0.922971     0.983333 
    0.917469     0.977778 
    0.925722     0.988889 
    0.911967     1.000000 
    0.927098     0.977778 
    0.931224     0.966667 
    0.909216     0.983333 
    0.903714     0.972222 
    0.927098     0.983333 
    0.914718     0.977778 
    0.927098     0.983333 
    0.918845     0.950000 
    0.924347     0.983333 
    0.902338     0.972222 
    0.925722     0.977778 
    0.911967     0.988889 
    0.922971     0.983333 
    0.924347     0.977778 
    0.917469     0.983333 
    0.932600     0.955556 
    0.917469     0.955556 
    0.903714     0.972222 
    0.931224     0.988889 
    0.911967     0.955556 
    0.913343     0.961111 
    0.928473     0.994444 
    0.958735     1.000000 
    0.932600     0.972222 
    0.928473     0.977778 
    0.935351     0.983333 
    0.918845     0.977778 
    0.927098     0.977778 
    0.906465     0.983333 
    0.932600     0.994444 
    0.928473     0.988889 
    0.927098     0.988889 
