# Train        Test        
    0.377981     0.337804 
    0.341189     0.337804 
    0.345953     0.337804 
    0.341189     0.337804 
    0.296423     0.322405 
    0.216012     0.125942 
    0.111065     0.075189 
    0.089762     0.065357 
    0.087611     0.053941 
    0.083117     0.050425 
    0.093527     0.069395 
    0.095505     0.065865 
    0.109913     0.109974 
    0.118020     0.093625 
    0.115661     0.096147 
    0.108918     0.078607 
    0.114949     0.100195 
    0.099457     0.059575 
    0.088359     0.081249 
    0.101013     0.098885 
    0.097648     0.069987 
    0.096744     0.068993 
    0.092243     0.072334 
    0.094706     0.069923 
    0.096230     0.053441 
    0.098316     0.086082 
    0.088904     0.082623 
    0.086840     0.047058 
    0.089874     0.087420 
    0.078122     0.061785 
    0.070226     0.062712 
    0.072618     0.043784 
    0.070761     0.054539 
    0.084864     0.048201 
    0.076532     0.056849 
    0.089228     0.051371 
    0.076152     0.044431 
    0.077432     0.045049 
    0.072039     0.058851 
    0.063512     0.041680 
    0.077573     0.038557 
    0.074148     0.061049 
    0.073513     0.039761 
    0.071337     0.047906 
    0.070522     0.058080 
    0.071845     0.038455 
    0.066676     0.041022 
    0.071809     0.057574 
    0.079244     0.083418 
    0.080279     0.044044 
    0.077946     0.050104 
    0.078659     0.048208 
    0.083157     0.047322 
    0.074840     0.067065 
    0.080597     0.063847 
    0.078560     0.056140 
    0.072553     0.065707 
    0.084529     0.083086 
    0.091054     0.052106 
    0.082509     0.067040 
    0.074377     0.064407 
    0.067839     0.084606 
    0.060935     0.061469 
    0.065643     0.045910 
    0.065486     0.053470 
    0.071881     0.051230 
    0.073162     0.042064 
    0.072737     0.040416 
    0.071310     0.052796 
    0.070344     0.049689 
    0.076372     0.045993 
    0.076495     0.037780 
    0.070693     0.061825 
    0.073823     0.044472 
    0.071723     0.051201 
    0.064717     0.037891 
    0.066083     0.052560 
    0.067339     0.044127 
    0.067906     0.038827 
    0.067741     0.037688 
    0.064471     0.045067 
    0.063599     0.044326 
    0.070862     0.034072 
    0.057931     0.054651 
    0.066437     0.039280 
    0.062316     0.052296 
    0.062218     0.046898 
    0.065198     0.029467 
    0.068189     0.035783 
    0.059028     0.038436 
    0.063111     0.058254 
    0.064127     0.037014 
    0.067207     0.061435 
    0.063813     0.038176 
    0.061360     0.029866 
    0.063388     0.060970 
    0.068323     0.038139 
    0.062017     0.027290 
    0.058806     0.050590 
    0.062564     0.038314 
    0.062491     0.051858 
    0.071698     0.057154 
    0.071157     0.069413 
    0.059127     0.032894 
    0.070036     0.051284 
    0.065639     0.053678 
    0.057516     0.030182 
    0.047961     0.028561 
    0.058502     0.037390 
    0.056095     0.038636 
    0.060699     0.051930 
    0.063660     0.048744 
    0.065033     0.050027 
    0.066514     0.040767 
    0.056503     0.034790 
    0.057028     0.041813 
    0.058813     0.044521 
    0.054169     0.049728 
    0.058725     0.032545 
    0.061836     0.041778 
    0.060413     0.050998 
    0.057620     0.037248 
    0.062475     0.052341 
    0.062397     0.036285 
    0.052715     0.028497 
    0.056817     0.041720 
    0.063883     0.044548 
    0.061814     0.074394 
    0.068729     0.037049 
    0.062106     0.043371 
    0.065379     0.038637 
    0.068394     0.049880 
    0.060733     0.045794 
    0.064080     0.051126 
    0.062413     0.029146 
    0.055500     0.034899 
    0.062829     0.058442 
    0.055248     0.057875 
    0.059158     0.043247 
    0.060230     0.033105 
    0.063903     0.030721 
    0.057275     0.034369 
    0.062773     0.030537 
    0.057993     0.039299 
    0.057263     0.038516 
    0.050591     0.056746 
    0.060685     0.075883 
    0.061995     0.053113 
    0.060123     0.041281 
    0.057443     0.038878 
    0.056727     0.046120 
    0.057644     0.046121 
    0.053762     0.028113 
    0.056869     0.043260 
    0.061559     0.045106 
    0.060953     0.034070 
    0.061241     0.039503 
    0.057077     0.050918 
    0.064885     0.036712 
    0.052364     0.031132 
    0.055324     0.034502 
    0.062938     0.045549 
    0.058723     0.028944 
    0.053127     0.032485 
    0.047736     0.032092 
    0.053699     0.027513 
    0.053238     0.058901 
    0.053442     0.029625 
    0.053013     0.040934 
    0.052100     0.050978 
    0.065538     0.037957 
    0.056720     0.028780 
    0.053186     0.025747 
    0.056584     0.042006 
    0.053898     0.029259 
    0.058985     0.030035 
    0.049520     0.046292 
    0.052609     0.028309 
    0.054192     0.040764 
    0.053485     0.038832 
    0.056458     0.053124 
    0.054562     0.028672 
    0.056169     0.036866 
    0.052685     0.037744 
    0.046141     0.037220 
    0.052659     0.039309 
    0.054730     0.048696 
    0.050736     0.042093 
    0.056462     0.052398 
    0.057922     0.038677 
    0.059159     0.037258 
    0.056170     0.036123 
    0.057541     0.056613 
    0.056618     0.042057 
    0.058255     0.052024 
    0.061478     0.033807 
    0.056912     0.025728 
    0.062575     0.041329 
    0.059627     0.031485 
    0.051051     0.034243 
    0.056913     0.036815 
    0.058408     0.041440 
    0.053403     0.037442 
    0.052416     0.030731 
    0.050910     0.031768 
    0.058205     0.062356 
    0.055187     0.029040 
    0.056208     0.054679 
    0.058037     0.053958 
    0.055343     0.031696 
    0.055507     0.033523 
    0.052324     0.033840 
    0.050498     0.052975 
    0.059850     0.029485 
    0.056016     0.037310 
    0.050903     0.037276 
    0.060176     0.026579 
    0.064684     0.029500 
    0.047608     0.037389 
    0.056362     0.034341 
    0.058111     0.032763 
    0.059277     0.038410 
    0.055781     0.027199 
    0.051720     0.041580 
    0.055655     0.031547 
    0.055253     0.034935 
    0.057923     0.063245 
    0.058245     0.041666 
    0.054805     0.044269 
    0.054492     0.037379 
    0.058815     0.051558 
    0.054417     0.040947 
    0.057328     0.076767 
    0.049515     0.030748 
    0.049535     0.034564 
    0.057576     0.029440 
    0.062711     0.043174 
    0.055736     0.035242 
    0.053636     0.035008 
    0.061447     0.029386 
    0.061292     0.030619 
    0.055313     0.038748 
    0.056955     0.040065 
    0.055326     0.047205 
    0.057548     0.043876 
    0.055058     0.032276 
    0.059877     0.032397 
    0.054235     0.031966 
    0.056104     0.029440 
    0.053733     0.034340 
    0.052662     0.044627 
    0.055977     0.028403 
    0.057184     0.051078 
    0.056947     0.039773 
    0.056270     0.030917 
    0.052004     0.026806 
    0.053500     0.036657 
    0.046142     0.039372 
    0.056857     0.070927 
    0.052912     0.030409 
    0.047198     0.025860 
    0.053545     0.041975 
    0.055782     0.044637 
    0.054871     0.046765 
    0.053069     0.037767 
    0.056394     0.039794 
    0.057619     0.040832 
    0.054991     0.039036 
    0.049227     0.033559 
    0.053305     0.036220 
    0.057677     0.027651 
    0.049847     0.049159 
    0.058436     0.024340 
    0.051064     0.036790 
    0.049545     0.027657 
    0.053297     0.067349 
    0.047600     0.034800 
    0.058546     0.035878 
    0.064355     0.081629 
    0.056302     0.045555 
    0.057531     0.029828 
    0.054184     0.057118 
    0.053840     0.041227 
    0.063863     0.056965 
    0.060825     0.030277 
    0.052003     0.029239 
    0.053102     0.041580 
    0.056115     0.066330 
    0.058991     0.033624 
    0.053028     0.033775 
    0.048396     0.031273 
    0.049957     0.048325 
    0.051557     0.031268 
    0.060865     0.039380 
    0.057826     0.029143 
    0.057349     0.033814 
    0.059237     0.033543 
    0.050562     0.054597 
    0.055208     0.049858 
    0.055862     0.033287 
    0.050910     0.040056 
    0.053961     0.035806 
    0.055098     0.027794 
    0.054444     0.025049 
    0.054690     0.035511 
    0.051839     0.025696 
    0.053588     0.025964 
    0.049201     0.032009 
    0.053918     0.029307 
    0.053296     0.033430 
    0.047018     0.030667 
    0.053621     0.039175 
