# Train        Test        
    0.257221     0.238889 
    0.257221     0.244444 
    0.259972     0.244444 
    0.265475     0.272222 
    0.268226     0.244444 
    0.265475     0.244444 
    0.262724     0.238889 
    0.265475     0.250000 
    0.264099     0.244444 
    0.258597     0.244444 
    0.265475     0.244444 
    0.266850     0.244444 
    0.270977     0.244444 
    0.259972     0.244444 
    0.259972     0.244444 
    0.268226     0.250000 
    0.253095     0.361111 
    0.372765     0.461111 
    0.438790     0.488889 
    0.513067     0.605556 
    0.588721     0.700000 
    0.631362     0.761111 
    0.664374     0.694444 
    0.707015     0.816667 
    0.716644     0.800000 
    0.694635     0.822222 
    0.726272     0.844444 
    0.762036     0.783333 
    0.726272     0.872222 
    0.748281     0.861111 
    0.764787     0.844444 
    0.795048     0.861111 
    0.755158     0.872222 
    0.737276     0.838889 
    0.746905     0.900000 
    0.770289     0.877778 
    0.779917     0.872222 
    0.763411     0.727778 
    0.759285     0.833333 
    0.764787     0.822222 
    0.779917     0.866667 
    0.792297     0.866667 
    0.777166     0.866667 
    0.793673     0.833333 
    0.789546     0.900000 
    0.766162     0.888889 
    0.792297     0.866667 
    0.785420     0.900000 
    0.764787     0.900000 
    0.804677     0.911111 
    0.775791     0.827778 
    0.784044     0.872222 
    0.751032     0.905556 
    0.757909     0.844444 
    0.774415     0.833333 
    0.752407     0.788889 
    0.748281     0.866667 
    0.795048     0.872222 
    0.767538     0.900000 
    0.766162     0.850000 
    0.781293     0.844444 
    0.774415     0.838889 
    0.800550     0.877778 
    0.788171     0.894444 
    0.779917     0.916667 
    0.807428     0.933333 
    0.792297     0.844444 
    0.778542     0.794444 
    0.767538     0.911111 
    0.767538     0.877778 
    0.782669     0.905556 
    0.793673     0.850000 
    0.760660     0.872222 
    0.762036     0.838889 
    0.793673     0.894444 
    0.797799     0.855556 
    0.753783     0.811111 
    0.782669     0.933333 
    0.782669     0.850000 
    0.790922     0.872222 
    0.792297     0.872222 
    0.797799     0.877778 
    0.797799     0.922222 
    0.793673     0.883333 
    0.800550     0.900000 
    0.800550     0.905556 
    0.821183     0.938889 
    0.781293     0.905556 
    0.806052     0.900000 
    0.819807     0.855556 
    0.792297     0.916667 
    0.807428     0.888889 
    0.806052     0.900000 
    0.814305     0.872222 
    0.795048     0.911111 
    0.790922     0.900000 
    0.799175     0.894444 
    0.823934     0.894444 
    0.811554     0.911111 
    0.799175     0.883333 
    0.793673     0.894444 
    0.790922     0.900000 
    0.773040     0.900000 
    0.790922     0.888889 
    0.799175     0.927778 
    0.785420     0.900000 
    0.804677     0.905556 
    0.818432     0.883333 
    0.810179     0.877778 
    0.811554     0.850000 
    0.818432     0.855556 
    0.800550     0.894444 
    0.821183     0.927778 
    0.788171     0.888889 
    0.823934     0.922222 
    0.812930     0.900000 
    0.812930     0.911111 
    0.830812     0.916667 
    0.808803     0.888889 
    0.823934     0.888889 
    0.812930     0.905556 
    0.829436     0.916667 
    0.808803     0.900000 
    0.796424     0.894444 
    0.832187     0.888889 
    0.810179     0.816667 
    0.823934     0.888889 
    0.826685     0.911111 
    0.806052     0.905556 
    0.796424     0.872222 
    0.821183     0.922222 
    0.792297     0.888889 
    0.811554     0.905556 
    0.807428     0.916667 
    0.803301     0.927778 
    0.812930     0.894444 
    0.814305     0.866667 
    0.830812     0.911111 
    0.818432     0.911111 
    0.806052     0.900000 
    0.822558     0.933333 
    0.829436     0.900000 
    0.815681     0.927778 
    0.819807     0.888889 
    0.801926     0.927778 
    0.815681     0.888889 
    0.807428     0.916667 
    0.814305     0.905556 
    0.814305     0.911111 
    0.799175     0.894444 
    0.817056     0.905556 
    0.818432     0.916667 
    0.818432     0.877778 
    0.821183     0.900000 
    0.828061     0.894444 
    0.807428     0.933333 
    0.833563     0.916667 
    0.828061     0.916667 
    0.817056     0.927778 
    0.823934     0.900000 
    0.843191     0.927778 
    0.814305     0.944444 
    0.801926     0.900000 
    0.834938     0.927778 
    0.821183     0.938889 
    0.841816     0.922222 
    0.836314     0.888889 
    0.815681     0.933333 
    0.819807     0.922222 
    0.834938     0.894444 
    0.806052     0.944444 
    0.815681     0.916667 
    0.844567     0.911111 
    0.811554     0.883333 
    0.812930     0.883333 
    0.817056     0.927778 
    0.829436     0.911111 
    0.830812     0.927778 
    0.830812     0.911111 
    0.822558     0.905556 
    0.830812     0.916667 
    0.836314     0.922222 
    0.837689     0.905556 
    0.808803     0.894444 
    0.847318     0.922222 
    0.825309     0.872222 
    0.854195     0.922222 
    0.855571     0.922222 
    0.834938     0.905556 
    0.807428     0.922222 
    0.810179     0.933333 
    0.815681     0.944444 
    0.790922     0.933333 
    0.814305     0.872222 
    0.803301     0.927778 
    0.819807     0.938889 
    0.817056     0.916667 
    0.825309     0.927778 
    0.817056     0.911111 
    0.834938     0.894444 
    0.818432     0.938889 
    0.829436     0.900000 
    0.815681     0.922222 
    0.840440     0.922222 
    0.832187     0.938889 
    0.812930     0.905556 
    0.819807     0.911111 
    0.844567     0.927778 
    0.807428     0.922222 
    0.850069     0.944444 
    0.830812     0.900000 
    0.826685     0.944444 
    0.829436     0.883333 
    0.814305     0.916667 
    0.841816     0.922222 
    0.841816     0.905556 
    0.834938     0.900000 
    0.818432     0.916667 
    0.825309     0.922222 
    0.825309     0.922222 
    0.807428     0.922222 
    0.817056     0.927778 
    0.819807     0.916667 
    0.837689     0.922222 
    0.837689     0.911111 
    0.821183     0.922222 
    0.844567     0.927778 
    0.851444     0.905556 
    0.837689     0.894444 
    0.815681     0.938889 
    0.810179     0.883333 
    0.819807     0.933333 
    0.825309     0.933333 
    0.848693     0.900000 
    0.839065     0.916667 
    0.821183     0.933333 
    0.823934     0.922222 
    0.834938     0.916667 
    0.823934     0.927778 
    0.810179     0.922222 
    0.822558     0.950000 
    0.865199     0.927778 
    0.847318     0.922222 
    0.829436     0.927778 
    0.825309     0.944444 
    0.823934     0.888889 
    0.832187     0.900000 
    0.834938     0.944444 
    0.806052     0.888889 
    0.836314     0.927778 
    0.840440     0.933333 
    0.834938     0.950000 
    0.841816     0.944444 
    0.834938     0.927778 
    0.834938     0.905556 
    0.848693     0.922222 
    0.840440     0.894444 
    0.847318     0.938889 
    0.840440     0.938889 
    0.833563     0.916667 
    0.848693     0.911111 
    0.836314     0.938889 
    0.839065     0.927778 
    0.847318     0.911111 
    0.830812     0.955556 
    0.829436     0.911111 
    0.823934     0.933333 
    0.834938     0.922222 
    0.837689     0.933333 
    0.847318     0.905556 
    0.826685     0.916667 
    0.855571     0.961111 
    0.851444     0.922222 
    0.837689     0.933333 
    0.826685     0.933333 
    0.837689     0.916667 
    0.855571     0.938889 
    0.828061     0.933333 
    0.856946     0.927778 
    0.823934     0.944444 
    0.830812     0.933333 
    0.836314     0.955556 
    0.836314     0.916667 
    0.814305     0.950000 
    0.826685     0.922222 
    0.837689     0.911111 
    0.834938     0.955556 
    0.841816     0.955556 
    0.818432     0.911111 
    0.826685     0.927778 
    0.839065     0.905556 
    0.847318     0.933333 
    0.851444     0.950000 
    0.825309     0.950000 
    0.847318     0.927778 
    0.830812     0.944444 
    0.852820     0.950000 
    0.845942     0.950000 
    0.844567     0.927778 
    0.845942     0.944444 
    0.821183     0.905556 
    0.833563     0.922222 
    0.807428     0.922222 
    0.829436     0.933333 
    0.829436     0.911111 
    0.833563     0.927778 
    0.839065     0.933333 
    0.845942     0.938889 
    0.855571     0.927778 
    0.832187     0.927778 
    0.855571     0.961111 
    0.847318     0.927778 
    0.845942     0.916667 
    0.837689     0.955556 
    0.850069     0.938889 
    0.837689     0.922222 
    0.869326     0.922222 
    0.825309     0.927778 
    0.832187     0.922222 
    0.836314     0.950000 
    0.839065     0.961111 
    0.844567     0.922222 
    0.832187     0.944444 
    0.845942     0.922222 
    0.822558     0.911111 
    0.848693     0.950000 
    0.844567     0.883333 
    0.841816     0.905556 
    0.829436     0.933333 
    0.865199     0.950000 
    0.828061     0.905556 
    0.845942     0.933333 
    0.844567     0.961111 
    0.847318     0.933333 
    0.837689     0.933333 
    0.848693     0.933333 
    0.833563     0.950000 
    0.834938     0.916667 
    0.828061     0.911111 
    0.851444     0.950000 
    0.850069     0.933333 
    0.834938     0.922222 
    0.844567     0.911111 
    0.840440     0.961111 
    0.830812     0.916667 
    0.841816     0.861111 
    0.839065     0.916667 
    0.819807     0.911111 
    0.833563     0.933333 
    0.839065     0.944444 
    0.850069     0.966667 
    0.821183     0.927778 
    0.861073     0.922222 
    0.862448     0.944444 
    0.851444     0.905556 
    0.840440     0.933333 
