# Train        Test        
    0.371483     0.337432 
    0.357886     0.337804 
    0.341189     0.337804 
    0.340272     0.336087 
    0.341627     0.337804 
    0.340774     0.337804 
    0.340720     0.337391 
    0.341426     0.337565 
    0.341236     0.337779 
    0.342410     0.337788 
    0.341399     0.337804 
    0.341400     0.337804 
    0.360255     0.337411 
    0.346002     0.337804 
    0.341189     0.337804 
    0.339228     0.313005 
    0.319198     0.245083 
    0.235949     0.163405 
    0.187948     0.162127 
    0.165422     0.132915 
    0.148343     0.107125 
    0.136497     0.103252 
    0.135144     0.103856 
    0.121435     0.089865 
    0.123492     0.095630 
    0.124310     0.084444 
    0.113330     0.081824 
    0.114436     0.092182 
    0.122334     0.077983 
    0.112842     0.071662 
    0.108647     0.073030 
    0.105254     0.075783 
    0.109584     0.082783 
    0.111755     0.086672 
    0.115589     0.084918 
    0.108781     0.077219 
    0.110085     0.074821 
    0.112785     0.106215 
    0.113700     0.085353 
    0.113258     0.090751 
    0.109589     0.079852 
    0.105221     0.066914 
    0.107647     0.074576 
    0.103643     0.077402 
    0.106610     0.069686 
    0.113630     0.076995 
    0.102675     0.069064 
    0.098781     0.082758 
    0.107933     0.081352 
    0.108345     0.062552 
    0.108898     0.079668 
    0.106118     0.072190 
    0.119396     0.077117 
    0.115812     0.081573 
    0.118086     0.094643 
    0.123688     0.102489 
    0.126135     0.088795 
    0.112324     0.077413 
    0.123364     0.086931 
    0.121523     0.096598 
    0.109031     0.088317 
    0.112900     0.091090 
    0.109811     0.081507 
    0.114055     0.081519 
    0.113861     0.080922 
    0.111305     0.091829 
    0.111135     0.094565 
    0.111005     0.094573 
    0.116356     0.081815 
    0.111685     0.093321 
    0.113308     0.103805 
    0.112545     0.094365 
    0.118988     0.088493 
    0.120832     0.093658 
    0.110661     0.084117 
    0.113488     0.087106 
    0.122855     0.096307 
    0.113915     0.067317 
    0.113890     0.094245 
    0.107336     0.090805 
    0.107280     0.076521 
    0.110155     0.077156 
    0.109057     0.076140 
    0.104877     0.086173 
    0.108944     0.082064 
    0.108035     0.077852 
    0.100369     0.064902 
    0.106305     0.069473 
    0.104535     0.075911 
    0.097524     0.083755 
    0.104537     0.075243 
    0.101577     0.085612 
    0.109482     0.071148 
    0.102349     0.078138 
    0.109077     0.068227 
    0.107952     0.071670 
    0.102889     0.080638 
    0.097942     0.082925 
    0.102688     0.070070 
    0.101322     0.088647 
    0.106348     0.073268 
    0.111766     0.073763 
    0.110487     0.090473 
    0.110491     0.064286 
    0.105698     0.076486 
    0.105003     0.070848 
    0.102201     0.066180 
    0.094650     0.072146 
    0.098351     0.069954 
    0.100305     0.072807 
    0.100970     0.079300 
    0.100511     0.078386 
    0.098074     0.071648 
    0.106323     0.070969 
    0.094204     0.061807 
    0.101048     0.086439 
    0.098477     0.075529 
    0.099294     0.090440 
    0.105342     0.076994 
    0.101608     0.078488 
    0.098406     0.060735 
    0.093676     0.060269 
    0.099746     0.079107 
    0.107257     0.075058 
    0.093827     0.064431 
    0.097824     0.081680 
    0.098421     0.063331 
    0.096311     0.079777 
    0.102767     0.065294 
    0.101792     0.069714 
    0.097731     0.058596 
    0.105099     0.073434 
    0.099949     0.075752 
    0.104136     0.063868 
    0.099160     0.065517 
    0.099153     0.071684 
    0.098318     0.069396 
    0.097147     0.092361 
    0.099406     0.068411 
    0.100273     0.067683 
    0.098501     0.064526 
    0.092033     0.063276 
    0.094367     0.062326 
    0.098447     0.070961 
    0.099507     0.066537 
    0.094653     0.074709 
    0.099333     0.067659 
    0.095167     0.058654 
    0.097804     0.063940 
    0.099910     0.066067 
    0.099096     0.074886 
    0.097115     0.085500 
    0.095204     0.063791 
    0.093378     0.074672 
    0.091878     0.060198 
    0.099594     0.070362 
    0.092532     0.065691 
    0.095762     0.075754 
    0.106213     0.057336 
