# Train        Test        
    0.254237     0.256281 
    0.257062     0.256281 
    0.257062     0.256281 
    0.257062     0.251256 
    0.258475     0.256281 
    0.268362     0.341709 
    0.333333     0.502513 
    0.457627     0.552764 
    0.483051     0.608040 
    0.553672     0.618090 
    0.600282     0.663317 
    0.597458     0.723618 
    0.581921     0.763819 
    0.612994     0.733668 
    0.655367     0.743719 
    0.673729     0.723618 
    0.673729     0.678392 
    0.686441     0.849246 
    0.713277     0.798995 
    0.699153     0.758794 
    0.728814     0.834171 
    0.720339     0.824121 
    0.742938     0.804020 
    0.748588     0.763819 
    0.724576     0.864322 
    0.711864     0.869347 
    0.754237     0.824121 
    0.737288     0.884422 
    0.718927     0.839196 
    0.741525     0.834171 
    0.747175     0.844221 
    0.759887     0.824121 
    0.754237     0.849246 
    0.751412     0.844221 
    0.762712     0.849246 
    0.768362     0.768844 
    0.766949     0.869347 
    0.762712     0.879397 
    0.790960     0.884422 
    0.790960     0.889447 
    0.786723     0.824121 
    0.765537     0.889447 
    0.762712     0.899497 
    0.747175     0.809045 
    0.765537     0.884422 
    0.783898     0.804020 
    0.759887     0.859296 
    0.768362     0.839196 
    0.785311     0.864322 
    0.768362     0.874372 
    0.786723     0.829146 
    0.774011     0.899497 
    0.772599     0.869347 
    0.769774     0.839196 
    0.798023     0.884422 
    0.786723     0.824121 
    0.778249     0.819095 
    0.764124     0.904523 
    0.786723     0.864322 
    0.771186     0.899497 
    0.778249     0.849246 
    0.771186     0.889447 
    0.798023     0.889447 
    0.807910     0.889447 
    0.798023     0.859296 
    0.774011     0.879397 
    0.795198     0.909548 
    0.800847     0.924623 
    0.766949     0.909548 
    0.769774     0.904523 
    0.766949     0.864322 
    0.775424     0.884422 
    0.782486     0.854271 
    0.768362     0.864322 
    0.793785     0.904523 
    0.776836     0.874372 
    0.802260     0.894472 
    0.782486     0.869347 
    0.779661     0.859296 
    0.795198     0.869347 
    0.796610     0.899497 
    0.814972     0.768844 
    0.790960     0.884422 
    0.785311     0.874372 
    0.806497     0.899497 
    0.806497     0.884422 
    0.788136     0.844221 
    0.800847     0.819095 
    0.786723     0.904523 
    0.802260     0.894472 
    0.786723     0.899497 
    0.796610     0.874372 
    0.792373     0.884422 
    0.799435     0.859296 
    0.813559     0.869347 
    0.792373     0.884422 
    0.798023     0.814070 
    0.793785     0.889447 
    0.803672     0.874372 
    0.803672     0.889447 
    0.814972     0.899497 
    0.824859     0.854271 
    0.798023     0.909548 
    0.817797     0.919598 
    0.796610     0.849246 
    0.810734     0.894472 
    0.788136     0.879397 
    0.798023     0.793970 
    0.802260     0.914573 
    0.820621     0.899497 
    0.798023     0.869347 
    0.785311     0.884422 
    0.820621     0.924623 
    0.810734     0.859296 
    0.781073     0.894472 
    0.809322     0.864322 
    0.785311     0.894472 
    0.805085     0.894472 
    0.827684     0.884422 
    0.790960     0.869347 
    0.812147     0.879397 
    0.834746     0.929648 
    0.833333     0.889447 
    0.838983     0.859296 
    0.803672     0.894472 
    0.800847     0.904523 
    0.799435     0.879397 
    0.814972     0.894472 
    0.806497     0.899497 
    0.807910     0.914573 
    0.798023     0.894472 
    0.814972     0.904523 
    0.810734     0.844221 
    0.798023     0.889447 
    0.841808     0.939698 
    0.823446     0.889447 
    0.826271     0.864322 
    0.809322     0.904523 
    0.805085     0.939698 
    0.837571     0.854271 
    0.820621     0.904523 
    0.822034     0.904523 
    0.813559     0.859296 
    0.820621     0.839196 
    0.789548     0.899497 
    0.844633     0.904523 
    0.824859     0.909548 
    0.813559     0.879397 
    0.829096     0.894472 
    0.841808     0.904523 
    0.820621     0.879397 
    0.814972     0.884422 
    0.827684     0.844221 
    0.790960     0.874372 
    0.783898     0.889447 
    0.816384     0.934673 
    0.841808     0.909548 
    0.803672     0.899497 
    0.774011     0.909548 
    0.803672     0.914573 
    0.798023     0.899497 
    0.814972     0.889447 
    0.812147     0.874372 
    0.806497     0.869347 
    0.822034     0.889447 
    0.820621     0.849246 
    0.816384     0.904523 
    0.817797     0.914573 
    0.826271     0.859296 
    0.802260     0.914573 
    0.803672     0.894472 
    0.823446     0.894472 
    0.790960     0.874372 
    0.812147     0.904523 
    0.823446     0.894472 
    0.814972     0.899497 
    0.813559     0.914573 
    0.851695     0.904523 
    0.802260     0.894472 
    0.807910     0.904523 
    0.838983     0.939698 
    0.814972     0.899497 
    0.806497     0.889447 
    0.799435     0.874372 
    0.800847     0.899497 
    0.826271     0.909548 
    0.830508     0.919598 
    0.836158     0.889447 
    0.836158     0.954774 
    0.805085     0.899497 
    0.830508     0.889447 
    0.800847     0.889447 
    0.814972     0.904523 
    0.836158     0.899497 
    0.837571     0.909548 
    0.800847     0.869347 
    0.816384     0.884422 
    0.812147     0.919598 
    0.827684     0.924623 
    0.843220     0.894472 
    0.843220     0.899497 
    0.807910     0.924623 
    0.814972     0.884422 
    0.819209     0.889447 
    0.812147     0.944724 
