# Train        Test        
    0.395205     0.340098 
    0.342301     0.340098 
    0.340741     0.340098 
    0.340635     0.340090 
    0.339098     0.340333 
    0.341155     0.279846 
    0.257481     0.160339 
    0.190079     0.141215 
    0.171936     0.134692 
    0.174178     0.120414 
    0.146894     0.125484 
    0.151066     0.111012 
    0.154353     0.107015 
    0.144219     0.111121 
    0.139154     0.112571 
    0.134935     0.107781 
    0.132325     0.146023 
    0.127754     0.085935 
    0.122910     0.094221 
    0.125745     0.098353 
    0.118724     0.084179 
    0.117659     0.088840 
    0.114822     0.088861 
    0.113252     0.102136 
    0.118314     0.078298 
    0.117267     0.090883 
    0.115844     0.089160 
    0.116417     0.079446 
    0.122879     0.090959 
    0.115958     0.088638 
    0.108974     0.078276 
    0.114020     0.090485 
    0.115345     0.071693 
    0.118172     0.084032 
    0.109184     0.076474 
    0.110482     0.094380 
    0.114519     0.080713 
    0.112305     0.077988 
    0.108762     0.073493 
    0.109269     0.091516 
    0.115287     0.092156 
    0.113644     0.084656 
    0.108773     0.073872 
    0.119744     0.089014 
    0.113265     0.083839 
    0.114106     0.100791 
    0.115345     0.088509 
    0.118138     0.095134 
    0.114848     0.082387 
    0.114799     0.076513 
    0.108678     0.092321 
    0.111955     0.069242 
    0.114547     0.092771 
    0.113617     0.080141 
    0.109309     0.075296 
    0.111796     0.080173 
    0.114747     0.091812 
    0.118534     0.081745 
    0.110511     0.090934 
    0.110137     0.074898 
    0.111814     0.089783 
    0.111973     0.084176 
    0.115153     0.083399 
    0.106840     0.077564 
    0.108429     0.072509 
    0.111240     0.087468 
    0.108214     0.070880 
    0.110851     0.080256 
    0.118444     0.082794 
    0.114017     0.076463 
    0.113673     0.087365 
    0.109950     0.074799 
    0.113548     0.084270 
    0.121339     0.078498 
    0.106024     0.070771 
    0.115090     0.077627 
    0.107989     0.072641 
    0.116294     0.092110 
    0.114661     0.085400 
    0.109680     0.087395 
    0.107014     0.075590 
    0.101246     0.107921 
    0.111390     0.076354 
    0.112258     0.078319 
    0.108190     0.070865 
    0.103994     0.071011 
    0.111179     0.087108 
    0.109147     0.087010 
    0.109121     0.066852 
    0.100715     0.075103 
    0.107484     0.071420 
    0.106397     0.071664 
    0.103970     0.069078 
    0.107255     0.073081 
    0.103055     0.077467 
    0.105072     0.066712 
    0.109723     0.089761 
    0.109084     0.076815 
    0.108565     0.071581 
    0.105971     0.071062 
    0.103244     0.083515 
    0.107381     0.076684 
    0.107585     0.075507 
    0.101287     0.075804 
    0.104003     0.073023 
    0.100645     0.074634 
    0.110182     0.090836 
    0.103944     0.107349 
    0.106645     0.066964 
    0.100175     0.070672 
    0.103780     0.074418 
    0.103780     0.067308 
    0.101864     0.068538 
    0.100706     0.070297 
    0.110181     0.069621 
    0.107360     0.088353 
    0.106402     0.073300 
    0.104737     0.070085 
    0.102078     0.073908 
    0.108763     0.087932 
    0.098431     0.067308 
    0.103909     0.079727 
    0.098152     0.079051 
    0.095342     0.069273 
    0.101028     0.067340 
    0.101780     0.063592 
    0.106842     0.067614 
    0.097187     0.062157 
    0.101237     0.063704 
    0.105537     0.058097 
    0.103932     0.069543 
    0.100734     0.064626 
    0.098535     0.068492 
    0.101198     0.065733 
    0.093479     0.062111 
    0.095245     0.070976 
    0.095161     0.069504 
    0.101840     0.060015 
    0.106476     0.060344 
    0.092790     0.077619 
    0.100118     0.066555 
    0.103514     0.076211 
    0.100104     0.091699 
    0.103902     0.082627 
    0.110720     0.065248 
    0.096269     0.072849 
    0.097558     0.062676 
    0.100643     0.078049 
    0.096648     0.071186 
    0.096470     0.069813 
    0.103742     0.076973 
    0.102548     0.076389 
    0.098826     0.084721 
    0.114679     0.090402 
    0.106069     0.067667 
    0.097080     0.064926 
    0.093449     0.072968 
    0.104067     0.071798 
    0.104971     0.070919 
    0.103717     0.066634 
    0.104599     0.077540 
    0.101625     0.085379 
    0.106560     0.087877 
    0.102660     0.075017 
    0.099435     0.060746 
    0.100589     0.103222 
    0.099162     0.066696 
    0.095564     0.063186 
    0.094617     0.074476 
    0.108572     0.066798 
    0.101546     0.071066 
    0.097336     0.069162 
    0.104173     0.074810 
    0.098393     0.086761 
    0.099144     0.066251 
    0.098649     0.067616 
    0.097200     0.058572 
    0.089105     0.066150 
    0.105087     0.072735 
    0.101568     0.058783 
    0.095985     0.053654 
    0.104522     0.067033 
    0.100593     0.062905 
    0.102987     0.074376 
    0.098856     0.062824 
    0.097368     0.061721 
    0.096533     0.081102 
    0.099991     0.078940 
    0.098012     0.061242 
    0.098234     0.059472 
    0.094525     0.080927 
    0.100333     0.066551 
    0.099900     0.060119 
    0.093794     0.077018 
    0.093341     0.079534 
    0.101339     0.087194 
    0.103522     0.073774 
    0.100374     0.075135 
    0.095725     0.061840 
    0.092962     0.089053 
    0.094917     0.084128 
    0.099203     0.072071 
    0.098081     0.074045 
    0.105410     0.062107 
    0.099831     0.074160 
