# Train        Test        
    0.493810     0.572222 
    0.680880     0.800000 
    0.731774     0.833333 
    0.770289     0.905556 
    0.834938     0.905556 
    0.818432     0.905556 
    0.877579     0.927778 
    0.892710     0.883333 
    0.873453     0.950000 
    0.881706     0.861111 
    0.863824     0.972222 
    0.902338     0.966667 
    0.914718     0.905556 
    0.891334     0.972222 
    0.917469     0.972222 
    0.900963     0.972222 
    0.905089     0.961111 
    0.907840     0.955556 
    0.913343     0.966667 
    0.905089     0.966667 
    0.928473     0.972222 
    0.931224     0.966667 
    0.903714     0.983333 
    0.907840     0.972222 
    0.916094     0.988889 
    0.920220     0.994444 
    0.914718     0.988889 
    0.938102     0.966667 
    0.914718     0.966667 
    0.913343     0.977778 
    0.913343     0.977778 
    0.920220     0.977778 
    0.918845     0.983333 
    0.916094     0.961111 
    0.907840     0.988889 
    0.914718     0.961111 
    0.914718     0.983333 
    0.917469     0.983333 
    0.914718     0.977778 
    0.914718     0.977778 
    0.921596     0.977778 
    0.928473     0.983333 
    0.931224     0.972222 
    0.911967     0.972222 
    0.918845     0.988889 
    0.928473     0.983333 
    0.929849     0.983333 
    0.914718     0.988889 
    0.911967     0.988889 
    0.913343     0.988889 
    0.931224     0.983333 
    0.918845     0.983333 
    0.918845     0.983333 
    0.920220     0.983333 
    0.939477     0.988889 
    0.940853     0.977778 
    0.935351     0.988889 
    0.931224     0.972222 
    0.922971     0.983333 
    0.927098     0.983333 
    0.933975     0.994444 
    0.935351     0.994444 
    0.927098     0.966667 
    0.936726     0.977778 
    0.925722     0.994444 
    0.889959     0.977778 
    0.921596     0.972222 
    0.921596     0.994444 
    0.936726     0.966667 
    0.929849     0.994444 
    0.921596     0.988889 
    0.938102     0.977778 
    0.927098     0.977778 
    0.938102     0.988889 
    0.927098     0.961111 
    0.907840     1.000000 
    0.936726     0.983333 
    0.922971     0.983333 
    0.927098     0.983333 
    0.938102     0.994444 
    0.924347     0.983333 
    0.927098     0.988889 
    0.911967     0.977778 
    0.932600     0.977778 
    0.928473     0.972222 
    0.924347     0.983333 
    0.935351     0.972222 
    0.931224     0.983333 
    0.933975     0.983333 
    0.931224     0.983333 
    0.933975     0.983333 
    0.922971     0.966667 
    0.916094     0.983333 
    0.940853     0.988889 
    0.933975     0.977778 
    0.920220     0.972222 
    0.896836     0.994444 
    0.932600     0.988889 
    0.933975     0.983333 
    0.951857     0.961111 
