# Train        Test        
    0.501545     0.390010 
    0.328563     0.276360 
    0.281936     0.190748 
    0.238243     0.166281 
    0.219213     0.170573 
    0.215995     0.181547 
    0.172329     0.103075 
    0.156121     0.150510 
    0.160071     0.094714 
    0.160620     0.211796 
    0.166789     0.078283 
    0.132171     0.074301 
    0.146624     0.144532 
    0.149094     0.114455 
    0.126098     0.111841 
    0.150597     0.172735 
    0.143686     0.104351 
    0.131756     0.070930 
    0.129937     0.115628 
    0.133632     0.075796 
    0.124194     0.098283 
    0.122752     0.109307 
    0.130541     0.067333 
    0.133891     0.060431 
    0.140143     0.135067 
    0.115958     0.058407 
    0.117863     0.062278 
    0.103644     0.072692 
    0.124446     0.069907 
    0.134803     0.137222 
    0.133384     0.063986 
    0.106078     0.058021 
    0.116149     0.087887 
    0.115868     0.095726 
    0.131259     0.068825 
    0.122529     0.095317 
    0.128241     0.082760 
    0.120827     0.056512 
    0.113618     0.071003 
    0.118633     0.139940 
    0.110724     0.062400 
    0.105107     0.046227 
    0.107823     0.064383 
    0.109101     0.115515 
    0.109724     0.052584 
    0.107907     0.087053 
    0.100704     0.093463 
    0.110952     0.087029 
    0.117112     0.072850 
    0.107338     0.056307 
    0.106559     0.112511 
    0.110965     0.097697 
    0.114239     0.094184 
    0.109091     0.055417 
    0.092965     0.091833 
    0.097814     0.061922 
    0.098648     0.051628 
    0.110678     0.066595 
    0.109861     0.113888 
    0.109242     0.081066 
    0.101963     0.056828 
    0.092586     0.043508 
    0.095901     0.075949 
    0.106621     0.079059 
    0.108639     0.078498 
    0.122423     0.058636 
    0.107742     0.071589 
    0.097382     0.058585 
    0.089061     0.060506 
    0.103873     0.076804 
    0.102755     0.064307 
    0.098097     0.052662 
    0.101257     0.068194 
    0.106401     0.071903 
    0.107438     0.096115 
    0.111626     0.046161 
    0.096471     0.070703 
    0.113884     0.065369 
    0.099379     0.104635 
    0.098078     0.049167 
    0.111598     0.075809 
    0.108189     0.066625 
    0.109126     0.054069 
    0.100107     0.068962 
    0.102950     0.057335 
    0.102701     0.073650 
    0.103833     0.081259 
    0.100676     0.091567 
    0.100335     0.067353 
    0.096174     0.085557 
    0.098217     0.066668 
    0.102799     0.065948 
    0.102929     0.060219 
    0.094683     0.073619 
    0.095979     0.064197 
    0.102728     0.070424 
    0.118404     0.044689 
    0.097591     0.052297 
    0.091164     0.059284 
    0.086773     0.066717 
