# Train        Test        
    0.463549     0.627778 
    0.642366     0.827778 
    0.751032     0.827778 
    0.803301     0.916667 
    0.823934     0.927778 
    0.847318     0.955556 
    0.829436     0.916667 
    0.856946     0.966667 
    0.856946     0.916667 
    0.859697     0.822222 
    0.870702     0.933333 
    0.891334     0.938889 
    0.883081     0.983333 
    0.887208     0.972222 
    0.929849     0.961111 
    0.895461     0.966667 
    0.900963     0.966667 
    0.906465     0.955556 
    0.913343     0.994444 
    0.909216     0.955556 
    0.920220     0.977778 
    0.913343     0.966667 
    0.911967     0.961111 
    0.896836     0.950000 
    0.906465     0.955556 
    0.917469     0.977778 
    0.932600     0.983333 
    0.905089     0.966667 
    0.927098     0.955556 
    0.909216     0.977778 
    0.922971     0.983333 
    0.914718     0.950000 
    0.900963     0.938889 
    0.920220     0.977778 
    0.903714     0.950000 
    0.928473     0.977778 
    0.916094     0.977778 
    0.920220     0.983333 
    0.942228     0.977778 
    0.900963     0.988889 
    0.925722     0.972222 
    0.916094     0.983333 
    0.899587     0.972222 
    0.939477     0.983333 
    0.935351     0.977778 
    0.918845     0.972222 
    0.916094     0.972222 
    0.946355     0.977778 
    0.936726     0.972222 
    0.920220     0.988889 
    0.916094     0.983333 
    0.918845     0.966667 
    0.918845     0.977778 
    0.928473     0.966667 
    0.925722     0.955556 
    0.924347     0.972222 
    0.916094     0.983333 
    0.943604     0.972222 
    0.910591     0.983333 
    0.920220     0.983333 
    0.928473     0.977778 
    0.929849     0.988889 
    0.918845     0.977778 
    0.942228     0.972222 
    0.918845     0.983333 
    0.911967     0.977778 
    0.917469     0.972222 
    0.925722     0.950000 
    0.931224     0.972222 
    0.914718     0.994444 
    0.931224     0.983333 
    0.924347     0.972222 
    0.943604     0.977778 
    0.929849     0.977778 
    0.927098     0.983333 
    0.932600     0.977778 
    0.916094     0.972222 
    0.916094     0.977778 
    0.924347     0.983333 
    0.922971     0.988889 
    0.914718     0.988889 
    0.931224     0.977778 
    0.910591     0.983333 
    0.921596     0.966667 
    0.918845     0.961111 
    0.939477     0.966667 
    0.925722     0.977778 
    0.940853     0.961111 
    0.914718     0.983333 
    0.925722     0.977778 
    0.927098     0.972222 
    0.925722     0.983333 
    0.946355     0.972222 
    0.933975     0.972222 
    0.935351     0.983333 
    0.928473     0.972222 
    0.939477     0.966667 
    0.909216     0.977778 
    0.917469     0.983333 
    0.913343     0.972222 
