# Train        Test        
    0.568410     0.367914 
    0.337045     0.220024 
    0.263680     0.233130 
    0.236216     0.170349 
    0.212273     0.168803 
    0.192751     0.122555 
    0.200435     0.132890 
    0.189217     0.127233 
    0.175191     0.124003 
    0.183416     0.226256 
    0.176976     0.163062 
    0.147639     0.086689 
    0.158439     0.077033 
    0.150407     0.118158 
    0.127669     0.107862 
    0.144470     0.081333 
    0.141763     0.089085 
    0.128223     0.088571 
    0.126171     0.078062 
    0.134725     0.079727 
    0.126835     0.058404 
    0.115799     0.100958 
    0.132317     0.143085 
    0.146812     0.078082 
    0.124371     0.112564 
    0.118997     0.076289 
    0.119657     0.064188 
    0.120384     0.106297 
    0.113211     0.082009 
    0.128098     0.079749 
    0.113786     0.069795 
    0.113821     0.077665 
    0.127607     0.129124 
    0.108110     0.063394 
    0.126908     0.096953 
    0.115154     0.086777 
    0.111521     0.063725 
    0.111255     0.080180 
    0.098297     0.095787 
    0.116158     0.079154 
    0.110402     0.067656 
    0.120173     0.060459 
    0.123051     0.101734 
    0.100468     0.091037 
    0.105358     0.104660 
    0.112611     0.055377 
    0.114855     0.082199 
    0.100235     0.070364 
    0.095368     0.075319 
    0.112907     0.060147 
    0.114908     0.096132 
    0.112529     0.098798 
    0.112203     0.077429 
    0.102566     0.072499 
    0.118870     0.092388 
    0.110817     0.060824 
    0.110882     0.065007 
    0.100055     0.071579 
    0.119990     0.096303 
    0.108942     0.069033 
    0.100799     0.053134 
    0.105982     0.083054 
    0.115465     0.069902 
    0.088331     0.062416 
    0.101466     0.047261 
    0.111263     0.074459 
    0.099434     0.084633 
    0.098515     0.061599 
    0.100672     0.094223 
    0.108568     0.056206 
    0.091761     0.063907 
    0.100754     0.071755 
    0.095753     0.066294 
    0.097785     0.048908 
    0.102395     0.045754 
    0.100980     0.098046 
    0.110079     0.080100 
    0.108006     0.051838 
    0.104130     0.062009 
    0.101244     0.085979 
    0.108915     0.056889 
    0.108787     0.063494 
    0.108386     0.049720 
    0.105773     0.069496 
    0.109296     0.073847 
    0.095843     0.067872 
    0.105386     0.073649 
    0.089672     0.061734 
    0.102219     0.067791 
    0.109944     0.133534 
    0.101725     0.072901 
    0.107231     0.105203 
    0.098182     0.091755 
    0.101999     0.093044 
    0.099981     0.055891 
    0.103735     0.060068 
    0.100967     0.069542 
    0.115346     0.088655 
    0.113405     0.094693 
    0.131655     0.073683 
