# Train        Test        
    0.273728     0.294444 
    0.317744     0.344444 
    0.310867     0.344444 
    0.382393     0.388889 
    0.383769     0.400000 
    0.378267     0.438889 
    0.437414     0.466667 
    0.423659     0.438889 
    0.456671     0.472222 
    0.448418     0.461111 
    0.445667     0.472222 
    0.473177     0.516667 
    0.464924     0.522222 
    0.486933     0.566667 
    0.459422     0.511111 
    0.517194     0.533333 
    0.518569     0.533333 
    0.484182     0.594444 
    0.536451     0.527778 
    0.522696     0.550000 
    0.513067     0.572222 
    0.514443     0.522222 
    0.524072     0.533333 
    0.546080     0.555556 
    0.551582     0.527778 
    0.504814     0.538889 
    0.540578     0.533333 
    0.532325     0.561111 
    0.548831     0.511111 
    0.536451     0.511111 
    0.526823     0.605556 
    0.530949     0.522222 
    0.537827     0.600000 
    0.544704     0.594444 
    0.528198     0.638889 
    0.563961     0.544444 
    0.525447     0.611111 
    0.525447     0.577778 
    0.528198     0.594444 
    0.565337     0.583333 
    0.566713     0.611111 
    0.572215     0.588889 
    0.514443     0.594444 
    0.563961     0.572222 
    0.552957     0.527778 
    0.530949     0.566667 
    0.557084     0.527778 
    0.561210     0.605556 
    0.529574     0.594444 
    0.541953     0.538889 
    0.517194     0.527778 
    0.544704     0.550000 
    0.551582     0.527778 
    0.547455     0.583333 
    0.598349     0.566667 
    0.561210     0.516667 
    0.555708     0.594444 
    0.518569     0.622222 
    0.547455     0.583333 
    0.546080     0.572222 
    0.540578     0.566667 
    0.547455     0.561111 
    0.521320     0.650000 
    0.557084     0.616667 
    0.561210     0.505556 
    0.558459     0.622222 
    0.544704     0.588889 
    0.579092     0.544444 
    0.561210     0.600000 
    0.574966     0.555556 
    0.536451     0.644444 
    0.558459     0.611111 
    0.566713     0.550000 
    0.496561     0.572222 
    0.568088     0.661111 
    0.573590     0.566667 
    0.572215     0.600000 
    0.566713     0.561111 
    0.515818     0.561111 
    0.547455     0.572222 
    0.548831     0.583333 
    0.574966     0.611111 
    0.570839     0.561111 
    0.583219     0.544444 
    0.551582     0.588889 
    0.528198     0.611111 
    0.577717     0.677778 
    0.561210     0.588889 
    0.543329     0.516667 
    0.547455     0.650000 
    0.554333     0.577778 
    0.537827     0.577778 
    0.532325     0.566667 
    0.558459     0.600000 
    0.569464     0.561111 
    0.552957     0.566667 
    0.533700     0.605556 
    0.540578     0.555556 
    0.572215     0.588889 
    0.540578     0.616667 
