# Train        Test        
    0.683282     0.615182 
    0.643977     0.599092 
    0.622998     0.545171 
    0.569471     0.497980 
    0.537684     0.503909 
    0.518766     0.480480 
    0.485050     0.444943 
    0.484233     0.469487 
    0.472896     0.466645 
    0.469699     0.444894 
    0.470759     0.469858 
    0.450380     0.390692 
    0.457183     0.414502 
    0.458620     0.393558 
    0.447246     0.418752 
    0.428182     0.390883 
    0.426179     0.387430 
    0.441304     0.381014 
    0.421309     0.402802 
    0.432389     0.374791 
    0.446308     0.382248 
    0.426220     0.383947 
    0.420830     0.422910 
    0.411569     0.388559 
    0.414002     0.393480 
    0.416030     0.391886 
    0.416018     0.406760 
    0.420093     0.374201 
    0.401127     0.396992 
    0.412756     0.409613 
    0.414434     0.366925 
    0.410895     0.391117 
    0.392173     0.360204 
    0.407848     0.384394 
    0.403826     0.357323 
    0.398718     0.429453 
    0.401877     0.350060 
    0.419111     0.379425 
    0.414360     0.370534 
    0.399342     0.364959 
    0.388045     0.343539 
    0.395438     0.386844 
    0.420703     0.390492 
    0.403145     0.374445 
    0.407174     0.414834 
    0.415629     0.404510 
    0.398600     0.402787 
    0.402278     0.380553 
    0.414555     0.395747 
    0.406153     0.381813 
    0.423710     0.431202 
    0.409410     0.429762 
    0.414636     0.399798 
    0.402314     0.366184 
    0.373594     0.387859 
    0.393320     0.381836 
    0.396750     0.364185 
    0.418735     0.358557 
    0.403195     0.360863 
    0.411054     0.394202 
    0.412248     0.393756 
    0.416482     0.410761 
    0.413765     0.325895 
    0.417419     0.357141 
    0.395614     0.408939 
    0.403025     0.353594 
    0.407917     0.380084 
    0.386114     0.398318 
    0.399331     0.402642 
    0.388213     0.394945 
    0.402537     0.353438 
    0.394199     0.371535 
    0.390525     0.374839 
    0.434491     0.415636 
    0.395693     0.348198 
    0.391057     0.370002 
    0.378653     0.353395 
    0.394481     0.375273 
    0.426845     0.388935 
    0.409800     0.360351 
    0.398862     0.372201 
    0.386070     0.392412 
    0.392407     0.370481 
    0.370049     0.375335 
    0.397837     0.358487 
    0.396909     0.358912 
    0.383090     0.323644 
    0.392975     0.356368 
    0.414452     0.409074 
    0.402389     0.327231 
    0.397806     0.355792 
    0.423187     0.373142 
    0.406053     0.389689 
    0.400171     0.392249 
    0.377181     0.378897 
    0.406580     0.387161 
    0.404958     0.350690 
    0.410347     0.380003 
    0.374478     0.355439 
    0.405274     0.364339 
