# Train        Test        
    0.252113     0.258883 
    0.256338     0.258883 
    0.256338     0.258883 
    0.256338     0.258883 
    0.256338     0.258883 
    0.250704     0.258883 
    0.256338     0.258883 
    0.256338     0.258883 
    0.256338     0.258883 
    0.256338     0.258883 
    0.256338     0.258883 
    0.256338     0.258883 
    0.261972     0.258883 
    0.256338     0.263959 
    0.285915     0.258883 
    0.256338     0.258883 
    0.295775     0.335025 
    0.276056     0.258883 
    0.256338     0.258883 
    0.259155     0.274112 
    0.273239     0.263959 
    0.314085     0.340102 
    0.311268     0.289340 
    0.261972     0.284264 
    0.297183     0.329949 
    0.260563     0.263959 
    0.261972     0.263959 
    0.259155     0.263959 
    0.264789     0.274112 
    0.264789     0.269036 
    0.264789     0.269036 
    0.263380     0.263959 
    0.259155     0.263959 
    0.264789     0.263959 
    0.263380     0.274112 
    0.271831     0.263959 
    0.283099     0.258883 
    0.307042     0.258883 
    0.256338     0.258883 
    0.290141     0.502538 
    0.447887     0.502538 
    0.481690     0.497462 
    0.515493     0.751269 
    0.754930     0.781726 
    0.825352     0.944162 
    0.874648     0.939086 
    0.880282     0.944162 
    0.888732     0.964467 
    0.895775     0.954315 
    0.885915     0.984772 
    0.908451     0.979695 
    0.915493     0.969543 
    0.905634     0.959391 
    0.898592     0.954315 
    0.902817     0.883249 
    0.900000     0.928934 
    0.887324     0.959391 
    0.901408     0.954315 
    0.877465     0.954315 
    0.908451     0.964467 
    0.905634     0.969543 
    0.911268     0.954315 
    0.919718     0.959391 
    0.908451     0.959391 
    0.914085     0.949239 
    0.907042     0.964467 
    0.876056     0.954315 
    0.901408     0.939086 
    0.908451     0.949239 
    0.914085     0.984772 
    0.904225     0.934010 
    0.900000     0.903553 
    0.905634     0.984772 
    0.916901     0.928934 
    0.898592     0.969543 
    0.915493     0.964467 
    0.914085     0.984772 
    0.915493     0.934010 
    0.916901     0.984772 
    0.926761     0.959391 
    0.916901     0.964467 
    0.909859     0.974619 
    0.930986     0.989848 
    0.936620     0.954315 
    0.930986     0.984772 
    0.922535     0.979695 
    0.884507     0.989848 
    0.907042     0.964467 
    0.908451     0.984772 
    0.909859     0.964467 
    0.938028     0.928934 
    0.914085     0.969543 
    0.890141     0.964467 
    0.932394     0.984772 
    0.915493     0.949239 
    0.928169     0.974619 
    0.905634     0.959391 
    0.921127     0.984772 
    0.922535     0.979695 
    0.926761     0.979695 
    0.916901     0.979695 
    0.929577     0.994924 
    0.926761     0.984772 
    0.930986     0.989848 
    0.938028     0.979695 
    0.936620     0.979695 
    0.915493     0.984772 
    0.919718     0.984772 
    0.921127     0.984772 
    0.935211     0.994924 
    0.930986     0.969543 
    0.928169     0.979695 
    0.921127     0.989848 
    0.943662     0.979695 
    0.916901     0.989848 
    0.914085     0.974619 
    0.925352     0.979695 
    0.919718     0.989848 
    0.923944     0.989848 
    0.904225     0.989848 
    0.954930     0.984772 
    0.922535     0.984772 
    0.929577     0.984772 
    0.932394     0.984772 
    0.939437     0.984772 
    0.928169     0.974619 
    0.926761     0.959391 
    0.929577     0.984772 
    0.938028     0.969543 
    0.916901     1.000000 
    0.921127     0.984772 
    0.908451     1.000000 
    0.925352     0.979695 
    0.930986     0.994924 
    0.928169     0.994924 
    0.926761     1.000000 
    0.926761     0.984772 
    0.930986     0.989848 
    0.930986     0.994924 
