# Train        Test        
    0.369695     0.338349 
    0.340789     0.338349 
    0.340878     0.338349 
    0.340878     0.338349 
    0.340953     0.338349 
    0.341563     0.338349 
    0.340878     0.338349 
    0.340878     0.338349 
    0.340878     0.338349 
    0.341328     0.338349 
    0.340878     0.338349 
    0.340878     0.338349 
    0.341405     0.338349 
    0.340876     0.338287 
    0.342896     0.338349 
    0.340874     0.338280 
    0.339958     0.335443 
    0.340578     0.338349 
    0.340878     0.338349 
    0.344481     0.338127 
    0.339861     0.337496 
    0.337690     0.335498 
    0.338374     0.337878 
    0.340593     0.337712 
    0.341840     0.332566 
    0.340697     0.338257 
    0.340769     0.338241 
    0.341027     0.338237 
    0.340703     0.338149 
    0.340712     0.338204 
    0.340635     0.338206 
    0.340741     0.338249 
    0.340814     0.338264 
    0.340780     0.338257 
    0.336485     0.265808 
    0.276082     0.259281 
    0.270479     0.275880 
    0.272002     0.280071 
    0.274671     0.260893 
    0.271597     0.224025 
    0.224799     0.197564 
    0.210008     0.198948 
    0.196466     0.128214 
    0.116405     0.106701 
    0.088938     0.060669 
    0.072278     0.056641 
    0.070176     0.045445 
    0.067874     0.052437 
    0.064448     0.041861 
    0.064779     0.033668 
    0.061425     0.040021 
    0.059035     0.037472 
    0.065429     0.058312 
    0.065710     0.063309 
    0.068895     0.069843 
    0.073885     0.067445 
    0.078216     0.046267 
    0.063359     0.043694 
    0.069213     0.056988 
    0.064568     0.040462 
    0.061912     0.042716 
    0.062103     0.042405 
    0.058342     0.045463 
    0.065466     0.046349 
    0.065544     0.042657 
    0.065486     0.041163 
    0.073594     0.056065 
    0.069684     0.054217 
    0.066967     0.042509 
    0.064662     0.049611 
    0.064639     0.058561 
    0.067467     0.063055 
    0.065364     0.042455 
    0.058654     0.048069 
    0.063955     0.044278 
    0.061364     0.036272 
    0.062406     0.043900 
    0.060602     0.044511 
    0.059664     0.036243 
    0.057390     0.057879 
    0.058601     0.035270 
    0.064301     0.047684 
    0.058425     0.046614 
    0.058693     0.048321 
    0.062576     0.039530 
    0.055027     0.048525 
    0.070805     0.033410 
    0.061723     0.067163 
    0.058358     0.042521 
    0.064716     0.036532 
    0.061995     0.055576 
    0.062772     0.050833 
    0.067042     0.047279 
    0.056701     0.043729 
    0.057718     0.038851 
    0.054552     0.045614 
    0.061944     0.044267 
    0.060455     0.038914 
