# Train        Test        
    0.530949     0.744444 
    0.746905     0.711111 
    0.781293     0.816667 
    0.786795     0.838889 
    0.841816     0.905556 
    0.862448     0.900000 
    0.865199     0.944444 
    0.844567     0.938889 
    0.859697     0.972222 
    0.900963     0.961111 
    0.862448     0.938889 
    0.888583     0.911111 
    0.902338     0.977778 
    0.899587     0.955556 
    0.891334     0.955556 
    0.909216     0.966667 
    0.905089     0.933333 
    0.899587     0.988889 
    0.889959     0.972222 
    0.909216     0.938889 
    0.907840     0.988889 
    0.906465     0.988889 
    0.878955     0.961111 
    0.898212     0.972222 
    0.899587     0.983333 
    0.903714     0.972222 
    0.911967     0.972222 
    0.903714     0.966667 
    0.917469     0.955556 
    0.902338     0.977778 
    0.895461     0.972222 
    0.922971     0.944444 
    0.905089     0.966667 
    0.905089     0.977778 
    0.910591     0.977778 
    0.900963     0.977778 
    0.922971     0.983333 
    0.906465     0.961111 
    0.918845     0.977778 
    0.910591     0.966667 
    0.900963     0.983333 
    0.907840     0.972222 
    0.911967     0.983333 
    0.898212     0.983333 
    0.885832     0.977778 
    0.917469     0.977778 
    0.907840     0.961111 
    0.899587     0.966667 
    0.925722     0.972222 
    0.911967     0.950000 
    0.914718     0.977778 
    0.939477     0.977778 
    0.920220     0.972222 
    0.914718     0.988889 
    0.914718     1.000000 
    0.905089     0.994444 
    0.928473     0.927778 
    0.916094     0.977778 
    0.940853     0.983333 
    0.913343     0.988889 
    0.907840     0.977778 
    0.922971     0.972222 
    0.922971     0.994444 
    0.913343     0.977778 
    0.927098     0.983333 
    0.922971     0.972222 
    0.916094     0.966667 
    0.933975     0.994444 
    0.917469     0.983333 
    0.936726     0.994444 
    0.914718     0.972222 
    0.921596     0.994444 
    0.927098     0.972222 
    0.931224     0.983333 
    0.916094     0.966667 
    0.917469     0.988889 
    0.924347     0.988889 
    0.903714     0.966667 
    0.910591     0.983333 
    0.924347     0.988889 
    0.905089     0.977778 
    0.913343     0.972222 
    0.917469     0.972222 
    0.928473     0.983333 
    0.913343     0.961111 
    0.909216     0.966667 
    0.917469     0.983333 
    0.929849     0.983333 
    0.925722     0.983333 
    0.914718     0.977778 
    0.922971     0.983333 
    0.913343     0.961111 
    0.916094     0.983333 
    0.914718     0.983333 
    0.920220     0.972222 
    0.927098     0.983333 
    0.922971     0.988889 
    0.911967     0.961111 
    0.917469     0.977778 
    0.900963     0.983333 
