# Train        Test        
    0.451208     0.273437 
    0.294175     0.294517 
    0.268034     0.242750 
    0.250683     0.192465 
    0.196958     0.140914 
    0.179752     0.177066 
    0.194319     0.164683 
    0.195255     0.138964 
    0.184154     0.097877 
    0.163035     0.127499 
    0.178214     0.142403 
    0.172630     0.152192 
    0.153338     0.097059 
    0.157119     0.123458 
    0.164051     0.090026 
    0.146437     0.091284 
    0.147579     0.157763 
    0.160122     0.098866 
    0.155534     0.112152 
    0.144958     0.132021 
    0.145886     0.148234 
    0.146281     0.108903 
    0.144895     0.072805 
    0.147075     0.075229 
    0.148938     0.085544 
    0.140131     0.103740 
    0.144109     0.082258 
    0.133839     0.080118 
    0.130191     0.107046 
    0.141554     0.093298 
    0.150785     0.085632 
    0.139946     0.110070 
    0.138360     0.085077 
    0.143621     0.112551 
    0.136531     0.100928 
    0.140288     0.098217 
    0.124595     0.083161 
    0.136837     0.095748 
    0.125269     0.063353 
    0.124684     0.080150 
    0.143263     0.071775 
    0.135671     0.064682 
    0.119514     0.059498 
    0.131087     0.075884 
    0.142887     0.101128 
    0.121000     0.065107 
    0.128014     0.101675 
    0.135692     0.072860 
    0.127471     0.095782 
    0.127724     0.129045 
    0.138544     0.107236 
    0.119931     0.080541 
    0.115963     0.076632 
    0.118997     0.080103 
    0.127739     0.123301 
    0.137603     0.098815 
    0.129317     0.127111 
    0.131753     0.133862 
    0.109846     0.098004 
    0.127329     0.096612 
    0.139921     0.074207 
    0.129916     0.089224 
    0.120981     0.154733 
    0.123787     0.096848 
    0.106422     0.071940 
    0.111944     0.087207 
    0.109219     0.095387 
    0.112507     0.051943 
    0.117229     0.060872 
    0.109841     0.059053 
    0.116913     0.076698 
    0.126164     0.068076 
    0.119444     0.107480 
    0.113778     0.073320 
    0.127833     0.113764 
    0.123362     0.132862 
    0.124568     0.072385 
    0.126459     0.080001 
    0.135298     0.134671 
    0.131530     0.124214 
    0.134936     0.087439 
    0.124202     0.087804 
    0.123015     0.085956 
    0.117635     0.065441 
    0.137613     0.116433 
    0.131334     0.087221 
    0.117281     0.071560 
    0.105861     0.081939 
    0.111876     0.119015 
    0.121161     0.064258 
    0.125186     0.072524 
    0.128638     0.126923 
    0.124171     0.134694 
    0.128576     0.119146 
    0.121359     0.174866 
    0.122559     0.124983 
    0.116241     0.064317 
    0.118709     0.076697 
    0.110899     0.081150 
    0.125826     0.061291 
