# Train        Test        
    0.292985     0.277778 
    0.328748     0.355556 
    0.361761     0.388889 
    0.359010     0.350000 
    0.403026     0.416667 
    0.427785     0.405556 
    0.398900     0.444444 
    0.430536     0.388889 
    0.434663     0.505556 
    0.452545     0.483333 
    0.426410     0.522222 
    0.436039     0.450000 
    0.459422     0.461111 
    0.481431     0.594444 
    0.467675     0.505556 
    0.471802     0.522222 
    0.466300     0.572222 
    0.496561     0.538889 
    0.507565     0.494444 
    0.493810     0.494444 
    0.481431     0.561111 
    0.480055     0.555556 
    0.488308     0.600000 
    0.477304     0.500000 
    0.469051     0.500000 
    0.460798     0.544444 
    0.488308     0.500000 
    0.522696     0.550000 
    0.481431     0.533333 
    0.471802     0.622222 
    0.507565     0.561111 
    0.499312     0.533333 
    0.515818     0.533333 
    0.497937     0.500000 
    0.488308     0.577778 
    0.507565     0.538889 
    0.519945     0.544444 
    0.491059     0.494444 
    0.504814     0.550000 
    0.491059     0.572222 
    0.480055     0.516667 
    0.546080     0.472222 
    0.492435     0.527778 
    0.508941     0.494444 
    0.513067     0.500000 
    0.493810     0.444444 
    0.486933     0.533333 
    0.510316     0.544444 
    0.519945     0.505556 
    0.507565     0.555556 
    0.535076     0.527778 
    0.503439     0.538889 
    0.522696     0.527778 
    0.482806     0.516667 
    0.471802     0.527778 
    0.514443     0.555556 
    0.486933     0.538889 
    0.480055     0.511111 
    0.528198     0.533333 
    0.508941     0.511111 
    0.519945     0.533333 
    0.517194     0.566667 
    0.541953     0.544444 
    0.526823     0.538889 
    0.499312     0.561111 
    0.497937     0.544444 
    0.506190     0.483333 
    0.499312     0.572222 
    0.513067     0.511111 
    0.513067     0.550000 
    0.544704     0.500000 
    0.540578     0.583333 
    0.508941     0.561111 
    0.497937     0.572222 
    0.547455     0.444444 
    0.518569     0.505556 
    0.510316     0.550000 
    0.522696     0.538889 
    0.515818     0.466667 
    0.524072     0.538889 
    0.533700     0.544444 
    0.529574     0.544444 
    0.524072     0.494444 
    0.515818     0.561111 
    0.521320     0.533333 
    0.533700     0.566667 
    0.510316     0.583333 
    0.544704     0.583333 
    0.518569     0.594444 
    0.519945     0.500000 
    0.551582     0.533333 
    0.489684     0.572222 
    0.517194     0.505556 
    0.518569     0.600000 
    0.517194     0.583333 
    0.532325     0.522222 
    0.524072     0.511111 
    0.522696     0.577778 
    0.524072     0.555556 
    0.522696     0.522222 
