# Train        Test        
    0.643738     0.610461 
    0.575495     0.528503 
    0.544651     0.516778 
    0.544933     0.505898 
    0.517746     0.504532 
    0.503845     0.508412 
    0.522692     0.505413 
    0.497882     0.490955 
    0.499994     0.428170 
    0.476037     0.441612 
    0.490520     0.421349 
    0.494651     0.449575 
    0.482846     0.442206 
    0.453909     0.385544 
    0.463255     0.441533 
    0.445989     0.432314 
    0.471600     0.395482 
    0.468067     0.415042 
    0.436734     0.430331 
    0.455201     0.436600 
    0.448607     0.394518 
    0.451271     0.413330 
    0.448385     0.383379 
    0.455270     0.433337 
    0.462667     0.445818 
    0.472251     0.455386 
    0.440631     0.452812 
    0.444290     0.428464 
    0.472120     0.444673 
    0.458481     0.346145 
    0.449810     0.406885 
    0.450114     0.411945 
    0.449954     0.439444 
    0.438024     0.436883 
    0.461212     0.407329 
    0.452772     0.432090 
    0.444233     0.413919 
    0.454711     0.430692 
    0.451614     0.419514 
    0.450717     0.404925 
    0.445756     0.413739 
    0.431030     0.461625 
    0.458391     0.429924 
    0.437536     0.436535 
    0.438467     0.415631 
    0.447361     0.433733 
    0.448397     0.412870 
    0.450817     0.409348 
    0.435654     0.438874 
    0.440327     0.423226 
    0.432377     0.419898 
    0.445225     0.420561 
    0.430114     0.402443 
    0.458583     0.399871 
    0.462773     0.434199 
    0.440723     0.405592 
    0.449982     0.400442 
    0.453721     0.413477 
    0.432691     0.435899 
    0.448203     0.401942 
    0.440637     0.418044 
    0.431136     0.395153 
    0.426902     0.412054 
    0.440269     0.409410 
    0.450007     0.426812 
    0.440875     0.403790 
    0.443814     0.439189 
    0.445324     0.397371 
    0.439915     0.396990 
    0.433712     0.413702 
    0.427896     0.441451 
    0.433120     0.373900 
    0.448288     0.390523 
    0.438713     0.388417 
    0.413048     0.456115 
    0.429152     0.408168 
    0.439812     0.442472 
    0.450613     0.395243 
    0.435196     0.458170 
    0.435050     0.405012 
    0.416257     0.398967 
    0.427768     0.399855 
    0.444170     0.441380 
    0.423072     0.393533 
    0.438307     0.413267 
    0.434716     0.419348 
    0.448121     0.381645 
    0.424856     0.380661 
    0.433347     0.422444 
    0.432214     0.409900 
    0.411013     0.425090 
    0.434634     0.411361 
    0.440612     0.422569 
    0.426152     0.365491 
    0.425491     0.388001 
    0.415419     0.414243 
    0.428769     0.422040 
    0.433360     0.412333 
    0.420002     0.375382 
    0.428536     0.432065 
