# Train        Test        
    0.262857     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.275862 
    0.262857     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.245714     0.224138 
    0.257143     0.258621 
    0.257143     0.258621 
    0.262857     0.293103 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.241379 
    0.257143     0.224138 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.258621 
    0.257143     0.103448 
    0.257143     0.258621 
    0.257143     0.258621 
