# Train        Test        
    0.483989     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339784     0.329889 
    0.368861     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.353230     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.342163     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.340039     0.356156 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339821     0.451749 
    0.445007     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332643 
    0.339892     0.332986 
    0.340443     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.345880 
    0.343529     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.343410     0.332766 
    0.339892     0.332766 
    0.338435     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.339892     0.332766 
    0.318182     0.300796 
    0.307943     0.303227 
    0.292566     0.294323 
    0.282772     0.289779 
    0.289026     0.281553 
    0.264302     0.228235 
    0.220225     0.196378 
    0.147623     0.161790 
    0.140004     0.132803 
    0.110497     0.145223 
    0.123489     0.125091 
    0.104031     0.128601 
    0.109112     0.131912 
    0.122837     0.133238 
    0.090287     0.116496 
    0.087436     0.105411 
    0.100623     0.102443 
    0.096050     0.110841 
    0.081219     0.102944 
    0.094276     0.134392 
    0.088523     0.095839 
    0.080138     0.098742 
    0.083512     0.105003 
    0.080941     0.103535 
    0.064910     0.094819 
    0.070103     0.107578 
    0.079185     0.092753 
    0.060988     0.088157 
    0.071856     0.086546 
    0.057156     0.081344 
    0.054414     0.083953 
    0.060153     0.083999 
    0.064784     0.082976 
    0.058775     0.086696 
    0.064206     0.100517 
    0.059367     0.090838 
    0.060952     0.091194 
    0.056139     0.093744 
    0.058330     0.073316 
    0.069199     0.080523 
    0.051975     0.080233 
    0.059268     0.079274 
    0.060703     0.079123 
    0.050044     0.081875 
    0.052804     0.080177 
    0.047445     0.066064 
    0.048675     0.090236 
    0.048350     0.081656 
    0.059731     0.079108 
    0.046088     0.072413 
    0.057508     0.078332 
